"full_name","html_url","clone_url","default_branch","description","matched_frameworks","stars","forks","language","topics","open_issues","size_kb","created_at","updated_at","pushed_at","license","lifetime_days","contributors","total_commits","commits_per_month"
"hpcaitech/ColossalAI","https://github.com/hpcaitech/ColossalAI","https://github.com/hpcaitech/ColossalAI.git","main","Making large AI models cheaper, faster and more accessible","langchain","41397","4511","Python","ai,big-model,data-parallelism,deep-learning,distributed-computing,foundation-models,heterogeneous-training,hpc,inference,large-scale,model-parallelism,pipeline-parallelism","500","66601","2021-10-28T16:19:44Z","2026-06-13T17:30:34Z","2026-05-25T17:39:11Z","Apache-2.0","1670","199","3977","71.44"
"intel/BigDL","https://github.com/intel/BigDL","https://github.com/intel/BigDL.git","main","BigDL: Distributed TensorFlow, Keras and PyTorch on Apache Spark/Flink & Ray","langchain","2697","730","Jupyter Notebook","analytics-zoo,apache-spark,bigdl,deep-neural-network,distributed-deep-learning,keras-tensorflow,python,pytorch,scala","4","372994","2017-05-05T02:27:30Z","2026-06-13T15:19:15Z","2026-06-12T07:14:18Z","Apache-2.0","3325","207","21569","194.61"
"KruxAI/ragbuilder","https://github.com/KruxAI/ragbuilder","https://github.com/KruxAI/ragbuilder.git","main","A toolkit to create optimal Production-readyRetrieval Augmented Generation(RAG) setup for your data","langchain","1535","127","Python","developer-tools,genai,rag","20","79400","2024-06-24T07:25:00Z","2026-06-09T02:56:02Z","2025-05-20T03:53:13Z","Apache-2.0","329","8","438","39.94"
"apache/hamilton","https://github.com/apache/hamilton","https://github.com/apache/hamilton.git","main","Apache Hamilton helps data scientists and engineers define testable, modular, self-documenting dataflows, that encode lineage/tracing and metadata. Runs and scales everywhere python does.","langchain","2524","196","Jupyter Notebook","dag,data-analysis,data-engineering,data-science,dataframe,etl,etl-framework,etl-pipeline,feature-engineering,hacktoberfest,lineage,llmops,machine-learning,mlops,orchestration,pandas,python,rag,software-engineering","141","183437","2023-02-23T17:16:48Z","2026-06-12T06:16:41Z","2026-06-10T19:33:07Z","Apache-2.0","1203","99","2029","50.6"
"Azure/app-service-linux-docs","https://github.com/Azure/app-service-linux-docs","https://github.com/Azure/app-service-linux-docs.git","master","Azure App Service: Frequently Asked Questions on Linux App Service","langchain","150","88","Python","","60","76344","2019-02-27T21:55:57Z","2026-05-04T10:54:15Z","2026-03-30T22:55:33Z","CC-BY-4.0","2588","33","409","4.74"
"neo4j-field/ps-genai-agents","https://github.com/neo4j-field/ps-genai-agents","https://github.com/neo4j-field/ps-genai-agents.git","main","The goal of this project is to provide a generalized agent architecture that can be applied to many graph use cases.","langchain","13","9","Jupyter Notebook","cypher,database,genai,neo4j","0","179060","2024-08-13T15:11:47Z","2026-04-18T07:27:32Z","2025-05-27T16:02:16Z","Apache-2.0","287","2","203","21.22"
"lancedb/vectordb-recipes","https://github.com/lancedb/vectordb-recipes","https://github.com/lancedb/vectordb-recipes.git","main","Resource, examples & tutorials for multimodal AI, RAG and agents using vector search and LLMs","langchain","961","169","Jupyter Notebook","agents,ai,deep-learning,embeddings,fine-tuning,gpt,gpt-4-vision,lancedb,langchain,llama-index,llms,machine-learning,multimodal,multimodal-ai,openai,rag,vector-database","3","296135","2023-06-25T06:10:35Z","2026-06-13T00:55:18Z","2026-04-24T11:29:16Z","Apache-2.0","1034","41","939","27.24"
"andysingal/llm-course","https://github.com/andysingal/llm-course","https://github.com/andysingal/llm-course.git","main","","langchain","868","132","Jupyter Notebook","","2","123322","2023-08-22T03:59:41Z","2026-06-13T07:18:55Z","2026-06-12T19:43:17Z","MIT","1025","4","2403","70.33"
"promptdriven/pdd","https://github.com/promptdriven/pdd","https://github.com/promptdriven/pdd.git","main"," Prompt Driven Development (PDD): The Last Programming Language™. Prompt files are source; code is generated output.","langchain, langgraph","752","64","Python","ai,cli,code,developer-tools,development,methodology,prompt,prompt-engineering,prompt-toolkit,prompts,prompts-template","304","820992","2025-05-22T17:52:24Z","2026-06-13T08:03:25Z","2026-06-13T18:53:43Z","MIT","387","30","2586","200.47"
"aws-samples/aws-ai-ml-workshop-kr","https://github.com/aws-samples/aws-ai-ml-workshop-kr","https://github.com/aws-samples/aws-ai-ml-workshop-kr.git","master","A collection of localized (Korean) AWS AI/ML workshop materials for hands-on labs.","langchain","305","167","Jupyter Notebook","ai,algorithms,aws,deep-learning,hands-on,machine-learning,ml,sagemaker,workshop","18","1758678","2018-09-10T22:38:57Z","2026-04-30T06:00:27Z","2026-01-27T14:52:42Z","MIT-0","2695","110","2896","32.24"
