"AI agent framework","# Stars (k)","# Contributors","# Test files","# Test functions"
"langchain-ai/langchain","132.4","3667","533","4141"
"FoundationAgents/MetaGPT","66.6","148","248","752"
"microsoft/autogen","56.7","532","99","1192"
"crewAIInc/crewAI","48.0","286","219","3787"
"langchain-ai/langgraph","28.4","276","83","1340"
"openai/swarm","21.3","14","2","6"
"openai/openai-agents-python","20.6","236","182","2586"
"emcie-co/parlant","17.9","42","86","1015"
"TransformerOptimus/SuperAGI","17.4","74","121","398"
"agent0ai/agent-zero","16.7","41","36","149"
"camel-ai/camel","16.6","202","274","2114"
"raga-ai-hub/RagaAI-Catalyst","16.1","28","17","65"
"pydantic/pydantic-ai","16.1","404","150","3991"
"GreyDGL/PentestGPT","12.4","24","16","152"
"TEN-framework/ten-framework","10.4","78","424","951"
"livekit/agents","9.9","335","56","648"
"microsoft/agent-framework","8.7","112","201","5595"
"awslabs/agent-squad","7.6","31","23","282"
"MervinPraison/PraisonAI","6.6","38","718","10995"
"lavague-ai/LaVague","6.3","31","1","1"
"kyegomez/swarms","6.2","55","87","1064"
"AgentOps-AI/agentops","5.4","48","88","1076"
"superduper-io/superduper","5.3","49","67","229"
"Giskard-AI/giskard-oss","5.2","73","37","509"
"VRSEN/agency-swarm","4.1","24","137","983"
"SylphAI-Inc/AdalFlow","4.1","42","53","542"
"Intelligent-Internet/ii-agent","3.3","9","323","8193"
"i-am-bee/beeai-framework","3.2","68","33","148"
"cheshire-cat-ai/core","3.0","86","47","181"
"SolaceLabs/solace-agent-mesh","2.9","51","331","5503"
"griptape-ai/griptape","2.5","41","302","1394"
"openlit/openlit","2.3","64","19","405"
"dot-agent/nextpy","2.3","13","90","554"
"trypromptly/LLMStack","2.3","8","17","56"
"InternLM/lagent","2.2","34","5","11"
"agentuniverse-ai/agentUniverse","2.2","62","63","363"
"nottelabs/notte","1.9","13","79","589"
"melih-unsal/DemoGPT","1.9","8","3","4"
"GH05TCREW/pentestagent","1.9","8","1","1"
"samugit83/redamon","1.7","10","42","1293"
"plastic-labs/honcho","1.6","18","79","819"
"fetchai/uAgents","1.6","64","15","107"
"openakita/openakita","1.6","7","176","2815"
"patched-codes/patchwork","1.5","16","18","53"
"agi-inc/agent-protocol","1.5","16","11","9"
"NPC-Worldwide/npcpy","1.3","12","32","432"
"polyuiislab/infiAgent","1.2","9","17","109"
"mozilla-ai/any-agent","1.1","18","40","160"
"ZHangZHengEric/Sage","1.1","16","8","47"
"dynamiq-ai/dynamiq","1.0","17","186","1163"
