"repo","call_id","file","enclosing_qname","framework","pattern","callable","call_source","call_line","call_col","call_end_line","call_end_col","is_await","arg_count","call_arg_vars","fp_tier","arg_position","arg_keyword","arg_kind","arg_source","arg_names","arg_is_literal"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/base/langflow/services/tracing/openlayer.py::311::16","langflow-ai_langflow/src/backend/base/langflow/services/tracing/openlayer.py","langflow-ai_langflow.src.backend.base.langflow.services.tracing.openlayer.OpenlayerTracer.end","langchain_core",".stream","self._client.inference_pipelines.data.stream","self._client.inference_pipelines.data.stream(inference_pipeline_id=self._inference_pipeline_id, rows=[trace_data], config=config)","311","16","315","17","False","3","config;self;trace_data","","","inference_pipeline_id","Attribute","self._inference_pipeline_id","self","False"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/base/langflow/services/tracing/openlayer.py::311::16","langflow-ai_langflow/src/backend/base/langflow/services/tracing/openlayer.py","langflow-ai_langflow.src.backend.base.langflow.services.tracing.openlayer.OpenlayerTracer.end","langchain_core",".stream","self._client.inference_pipelines.data.stream","self._client.inference_pipelines.data.stream(inference_pipeline_id=self._inference_pipeline_id, rows=[trace_data], config=config)","311","16","315","17","False","3","config;self;trace_data","","","rows","List","[trace_data]","trace_data","False"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/base/langflow/services/tracing/openlayer.py::311::16","langflow-ai_langflow/src/backend/base/langflow/services/tracing/openlayer.py","langflow-ai_langflow.src.backend.base.langflow.services.tracing.openlayer.OpenlayerTracer.end","langchain_core",".stream","self._client.inference_pipelines.data.stream","self._client.inference_pipelines.data.stream(inference_pipeline_id=self._inference_pipeline_id, rows=[trace_data], config=config)","311","16","315","17","False","3","config;self;trace_data","","","config","Name","config","config","False"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::134::19","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_anthropic_vision_api_real_call","anthropic","messages.create","client.messages.create","client.messages.create(model='claude-3-haiku-20240307', max_tokens=10, messages=messages)","134","19","134","108","False","3","messages","","","model","Constant","'claude-3-haiku-20240307'","","True"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::134::19","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_anthropic_vision_api_real_call","anthropic","messages.create","client.messages.create","client.messages.create(model='claude-3-haiku-20240307', max_tokens=10, messages=messages)","134","19","134","108","False","3","messages","","","max_tokens","Constant","10","","True"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::134::19","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_anthropic_vision_api_real_call","anthropic","messages.create","client.messages.create","client.messages.create(model='claude-3-haiku-20240307', max_tokens=10, messages=messages)","134","19","134","108","False","3","messages","","","messages","Name","messages","messages","False"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::171::19","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_anthropic_vision_api_with_jpeg","anthropic","messages.create","client.messages.create","client.messages.create(model='claude-3-haiku-20240307', max_tokens=10, messages=messages)","171","19","171","108","False","3","messages","","","model","Constant","'claude-3-haiku-20240307'","","True"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::171::19","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_anthropic_vision_api_with_jpeg","anthropic","messages.create","client.messages.create","client.messages.create(model='claude-3-haiku-20240307', max_tokens=10, messages=messages)","171","19","171","108","False","3","messages","","","max_tokens","Constant","10","","True"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::171::19","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_anthropic_vision_api_with_jpeg","anthropic","messages.create","client.messages.create","client.messages.create(model='claude-3-haiku-20240307', max_tokens=10, messages=messages)","171","19","171","108","False","3","messages","","","messages","Name","messages","messages","False"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::291::26","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_cross_provider_consistency","openai","chat.completions.create","openai_client.chat.completions.create","openai_client.chat.completions.create(model='gpt-4o-mini', messages=[{'role': 'user', 'content': [{'type': 'text', 'text': 'What color is this? One word.'}, content_dict]}], max_tokens=5)","291","26","297","9","False","3","content_dict","","","model","Constant","'gpt-4o-mini'","","True"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::291::26","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_cross_provider_consistency","openai","chat.completions.create","openai_client.chat.completions.create","openai_client.chat.completions.create(model='gpt-4o-mini', messages=[{'role': 'user', 'content': [{'type': 'text', 'text': 'What color is this? One word.'}, content_dict]}], max_tokens=5)","291","26","297","9","False","3","content_dict","","","messages","List","[{'role': 'user', 'content': [{'type': 'text', 'text': 'What color is this? One word.'}, content_dict]}]","content_dict","False"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::291::26","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_cross_provider_consistency","openai","chat.completions.create","openai_client.chat.completions.create","openai_client.chat.completions.create(model='gpt-4o-mini', messages=[{'role': 'user', 'content': [{'type': 'text', 'text': 'What color is this? One word.'}, content_dict]}], max_tokens=5)","291","26","297","9","False","3","content_dict","","","max_tokens","Constant","5","","True"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::318::29","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_cross_provider_consistency","anthropic","messages.create","anthropic_client.messages.create","anthropic_client.messages.create(model='claude-3-haiku-20240307', max_tokens=5, messages=[{'role': 'user', 'content': [{'type': 'text', 'text': 'What color is this? One word.'}, anthropic_image]}])","318","29","327","9","False","3","anthropic_image","","","model","Constant","'claude-3-haiku-20240307'","","True"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::318::29","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_cross_provider_consistency","anthropic","messages.create","anthropic_client.messages.create","anthropic_client.messages.create(model='claude-3-haiku-20240307', max_tokens=5, messages=[{'role': 'user', 'content': [{'type': 'text', 'text': 'What color is this? One word.'}, anthropic_image]}])","318","29","327","9","False","3","anthropic_image","","","max_tokens","Constant","5","","True"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::318::29","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_cross_provider_consistency","anthropic","messages.create","anthropic_client.messages.create","anthropic_client.messages.create(model='claude-3-haiku-20240307', max_tokens=5, messages=[{'role': 'user', 'content': [{'type': 'text', 'text': 'What color is this? One word.'}, anthropic_image]}])","318","29","327","9","False","3","anthropic_image","","","messages","List","[{'role': 'user', 'content': [{'type': 'text', 'text': 'What color is this? One word.'}, anthropic_image]}]","anthropic_image","False"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::67::19","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_openai_vision_api_real_call","openai","chat.completions.create","client.chat.completions.create","client.chat.completions.create(model='gpt-4o-mini', messages=messages, max_tokens=10)","67","19","67","104","False","3","messages","","","model","Constant","'gpt-4o-mini'","","True"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::67::19","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_openai_vision_api_real_call","openai","chat.completions.create","client.chat.completions.create","client.chat.completions.create(model='gpt-4o-mini', messages=messages, max_tokens=10)","67","19","67","104","False","3","messages","","","messages","Name","messages","messages","False"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::67::19","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_openai_vision_api_real_call","openai","chat.completions.create","client.chat.completions.create","client.chat.completions.create(model='gpt-4o-mini', messages=messages, max_tokens=10)","67","19","67","104","False","3","messages","","","max_tokens","Constant","10","","True"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::97::19","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_openai_vision_api_with_jpeg","openai","chat.completions.create","client.chat.completions.create","client.chat.completions.create(model='gpt-4o-mini', messages=messages, max_tokens=10)","97","19","97","104","False","3","messages","","","model","Constant","'gpt-4o-mini'","","True"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::97::19","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_openai_vision_api_with_jpeg","openai","chat.completions.create","client.chat.completions.create","client.chat.completions.create(model='gpt-4o-mini', messages=messages, max_tokens=10)","97","19","97","104","False","3","messages","","","messages","Name","messages","messages","False"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::97::19","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_openai_vision_api_with_jpeg","openai","chat.completions.create","client.chat.completions.create","client.chat.completions.create(model='gpt-4o-mini', messages=messages, max_tokens=10)","97","19","97","104","False","3","messages","","","max_tokens","Constant","10","","True"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/unit/components/bundles/baidu/test_baidu_qianfan.py::69::15","langflow-ai_langflow/src/backend/tests/unit/components/bundles/baidu/test_baidu_qianfan.py","langflow-ai_langflow.src.backend.tests.unit.components.bundles.baidu.test_baidu_qianfan.test_empty_str_endpoint","langchain_core",".invoke","model.invoke","model.invoke(messages)","69","15","69","37","False","1","messages","","0","","Name","messages","messages","False"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/unit/components/bundles/baidu/test_baidu_qianfan.py::89::8","langflow-ai_langflow/src/backend/tests/unit/components/bundles/baidu/test_baidu_qianfan.py","langflow-ai_langflow.src.backend.tests.unit.components.bundles.baidu.test_baidu_qianfan.test_invalid_endpoint","langchain_core",".invoke","model.invoke","model.invoke(messages)","89","8","89","30","False","1","messages","","0","","Name","messages","messages","False"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/unit/components/bundles/baidu/test_baidu_qianfan.py::51::15","langflow-ai_langflow/src/backend/tests/unit/components/bundles/baidu/test_baidu_qianfan.py","langflow-ai_langflow.src.backend.tests.unit.components.bundles.baidu.test_baidu_qianfan.test_none_endpoint","langchain_core",".invoke","model.invoke","model.invoke(messages)","51","15","51","37","False","1","messages","","0","","Name","messages","messages","False"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/unit/components/models_and_agents/policies/test_llm_wrapper.py::222::18","langflow-ai_langflow/src/backend/tests/unit/components/models_and_agents/policies/test_llm_wrapper.py","langflow-ai_langflow.src.backend.tests.unit.components.models_and_agents.policies.test_llm_wrapper.TestGenerate.test_generate_api_failure","langchain_core",".generate","wrapper.generate","wrapper.generate(messages)","222","18","222","44","True","1","messages","","0","","Name","messages","messages","False"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/unit/components/models_and_agents/policies/test_llm_wrapper.py::290::14","langflow-ai_langflow/src/backend/tests/unit/components/models_and_agents/policies/test_llm_wrapper.py","langflow-ai_langflow.src.backend.tests.unit.components.models_and_agents.policies.test_llm_wrapper.TestGenerate.test_generate_continuation_includes_previous_messages","langchain_core",".generate","wrapper.generate","wrapper.generate(messages)","290","14","290","40","True","1","messages","","0","","Name","messages","messages","False"
