"repo","call_id","file","enclosing_qname","framework","pattern","callable","call_source","call_line","call_col","is_await","arg_count","fp_tier"
"langflow-ai/langflow","langflow-ai_langflow/src/backend/base/langflow/services/tracing/openlayer.py::311::16","langflow-ai_langflow/src/backend/base/langflow/services/tracing/openlayer.py","langflow-ai_langflow.src.backend.base.langflow.services.tracing.openlayer.OpenlayerTracer.end","langchain_core",".stream","self._client.inference_pipelines.data.stream","self._client.inference_pipelines.data.stream(inference_pipeline_id=self._inference_pipeline_id, rows=[trace_data], config=config)","311","16","False","3",""
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::134::19","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_anthropic_vision_api_real_call","anthropic","messages.create","client.messages.create","client.messages.create(model='claude-3-haiku-20240307', max_tokens=10, messages=messages)","134","19","False","3",""
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::171::19","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_anthropic_vision_api_with_jpeg","anthropic","messages.create","client.messages.create","client.messages.create(model='claude-3-haiku-20240307', max_tokens=10, messages=messages)","171","19","False","3",""
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::291::26","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_cross_provider_consistency","openai","chat.completions.create","openai_client.chat.completions.create","openai_client.chat.completions.create(model='gpt-4o-mini', messages=[{'role': 'user', 'content': [{'type': 'text', 'text': 'What color is this? One word.'}, content_dict]}], max_tokens=5)","291","26","False","3",""
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::318::29","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_cross_provider_consistency","anthropic","messages.create","anthropic_client.messages.create","anthropic_client.messages.create(model='claude-3-haiku-20240307', max_tokens=5, messages=[{'role': 'user', 'content': [{'type': 'text', 'text': 'What color is this? One word.'}, anthropic_image]}])","318","29","False","3",""
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::67::19","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_openai_vision_api_real_call","openai","chat.completions.create","client.chat.completions.create","client.chat.completions.create(model='gpt-4o-mini', messages=messages, max_tokens=10)","67","19","False","3",""
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py::97::19","langflow-ai_langflow/src/backend/tests/integration/test_image_providers.py","langflow-ai_langflow.src.backend.tests.integration.test_image_providers.test_openai_vision_api_with_jpeg","openai","chat.completions.create","client.chat.completions.create","client.chat.completions.create(model='gpt-4o-mini', messages=messages, max_tokens=10)","97","19","False","3",""
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/unit/components/bundles/baidu/test_baidu_qianfan.py::69::15","langflow-ai_langflow/src/backend/tests/unit/components/bundles/baidu/test_baidu_qianfan.py","langflow-ai_langflow.src.backend.tests.unit.components.bundles.baidu.test_baidu_qianfan.test_empty_str_endpoint","langchain_core",".invoke","model.invoke","model.invoke(messages)","69","15","False","1",""
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/unit/components/bundles/baidu/test_baidu_qianfan.py::89::8","langflow-ai_langflow/src/backend/tests/unit/components/bundles/baidu/test_baidu_qianfan.py","langflow-ai_langflow.src.backend.tests.unit.components.bundles.baidu.test_baidu_qianfan.test_invalid_endpoint","langchain_core",".invoke","model.invoke","model.invoke(messages)","89","8","False","1",""
"langflow-ai/langflow","langflow-ai_langflow/src/backend/tests/unit/components/bundles/baidu/test_baidu_qianfan.py::51::15","langflow-ai_langflow/src/backend/tests/unit/components/bundles/baidu/test_baidu_qianfan.py","langflow-ai_langflow.src.backend.tests.unit.components.bundles.baidu.test_baidu_qianfan.test_none_endpoint","langchain_core",".invoke","model.invoke","model.invoke(messages)","51","15","False","1",""
