"repo","qname","file","line","reason","kind"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.tests.unit.custom.component.test_validate.test_eval_custom_component_code_supports_module_level_async_helpers","langflow-ai_langflow/src/lfx/tests/unit/custom/component/test_validate.py","17","matches '.run' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.tests.unit.components.models_and_agents.test_job_checkpoint_saver.test_durable_saver_round_trip_pauses_persists_and_resumes","langflow-ai_langflow/src/lfx/tests/unit/components/models_and_agents/test_job_checkpoint_saver.py","88","matches '.astream_events' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.tests.unit.components.models_and_agents.agent_helpers.test_tool_call_id_middleware.test_should_return_tool_error_to_model_end_to_end_when_id_is_missing","langflow-ai_langflow/src/lfx/tests/unit/components/models_and_agents/agent_helpers/test_tool_call_id_middleware.py","110","matches '.ainvoke' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.tests.unit.components.models_and_agents.agent_helpers.test_tool_call_id_middleware.test_should_return_invalid_tool_error_to_model_end_to_end_when_id_is_missing","langflow-ai_langflow/src/lfx/tests/unit/components/models_and_agents/agent_helpers/test_tool_call_id_middleware.py","138","matches '.ainvoke' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.src.lfx.graph.vertex.vertex_types.InterfaceVertex.consume_async_generator","langflow-ai_langflow/src/lfx/src/lfx/graph/vertex/vertex_types.py","462","matches '.stream' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.src.lfx.custom.custom_component.component.Component.__call__","langflow-ai_langflow/src/lfx/src/lfx/custom/custom_component/component.py","1040","matches '.run' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.src.lfx.components.data_source.sql_executor.SQLComponent.build_component","langflow-ai_langflow/src/lfx/src/lfx/components/data_source/sql_executor.py","71","matches '.run' from langchain_community","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.src.lfx.components.data_source.sql_executor.SQLComponent.__execute_query","langflow-ai_langflow/src/lfx/src/lfx/components/data_source/sql_executor.py","94","matches '.run' from langchain_community","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.src.lfx.components.deactivated.should_run_next.ShouldRunNextComponent.build","langflow-ai_langflow/src/lfx/src/lfx/components/deactivated/should_run_next.py","13","matches '.invoke' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.src.lfx.components.langchain_utilities.csv_agent.CSVAgentComponent.build_agent_response","langflow-ai_langflow/src/lfx/src/lfx/components/langchain_utilities/csv_agent.py","138","matches '.invoke' from langchain_experimental","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.src.lfx.components.langchain_utilities.ibm_granite_handler._handle_placeholder_in_response","langflow-ai_langflow/src/lfx/src/lfx/components/langchain_utilities/ibm_granite_handler.py","145","matches '.invoke' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.src.lfx.components.langchain_utilities.ibm_granite_handler.create_granite_agent","langflow-ai_langflow/src/lfx/src/lfx/components/langchain_utilities/ibm_granite_handler.py","165","matches '.invoke' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.src.lfx.components.langchain_utilities.sql_generator.SQLGeneratorComponent.invoke_chain","langflow-ai_langflow/src/lfx/src/lfx/components/langchain_utilities/sql_generator.py","56","matches '.invoke' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.src.lfx.components.models_and_agents.a2a_agent._resolve_card_bounded","langflow-ai_langflow/src/lfx/src/lfx/components/models_and_agents/a2a_agent.py","207","matches '.stream' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.src.lfx.components.models_and_agents.a2a_agent.A2AAgentComponent._fetch_card","langflow-ai_langflow/src/lfx/src/lfx/components/models_and_agents/a2a_agent.py","405","matches '.stream' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.src.lfx.components.models_and_agents.agent.AgentComponent.run_agent","langflow-ai_langflow/src/lfx/src/lfx/components/models_and_agents/agent.py","617","matches '.astream_events' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.src.lfx.components.tools.python_repl.PythonREPLToolComponent.build_tool","langflow-ai_langflow/src/lfx/src/lfx/components/tools/python_repl.py","77","matches '.run' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.src.lfx.components.utilities.python_repl_core.PythonREPLComponent.run_python_repl","langflow-ai_langflow/src/lfx/src/lfx/components/utilities/python_repl_core.py","77","matches '.run' from langchain_experimental","direct"
