"repo","cg_source","excluded_files","graph_usable","total_functions","graph_nodes","graph_edges","graph_coverage_pct","llm_direct_invokers","llm_transitive_invokers","eval_direct_invokers","eval_transitive_invokers"
"NousResearch/hermes-agent","none","1","False","53300","0","0","0.0","26","0","0","0"
"microsoft/agent-governance-toolkit","none","5","False","25942","0","0","0.0","52","0","0","0"
"Sumanth077/Hands-On-AI-Engineering","none","41","False","858","0","0","0.0","42","0","0","0"
"future-agi/future-agi","none","2","False","25772","0","0","0.0","23","0","0","0"
"sunnypilot/sunnypilot","none","0","False","5192","0","0","0.0","0","0","0","0"
"run-llama/llama_index","none","3","False","17851","0","0","0.0","28","0","0","0"
"rush86999/atom","none","15","False","62578","0","0","0.0","7","0","0","0"
"kungfuai/CVlization","none","1","False","31460","0","0","0.0","16","0","0","0"
"EpicStaff/EpicStaff","none","37","False","10587","0","0","0.0","236","0","0","0"
"mlflow/mlflow","none","5","False","30022","0","0","0.0","211","0","3","0"
"angr/angr","none","0","False","15510","0","0","0.0","2","0","0","0"
"WenJinfeng/FaaSLight","none","0","False","553661","0","0","0.0","0","0","0","0"
"googleapis/python-aiplatform","none","1","False","76209","0","0","0.0","12","0","0","0"
"johnson7788/MultiUserClaw","none","3","False","54090","0","0","0.0","22","0","0","0"
"synaptent/aragora","none","0","False","324407","0","0","0.0","30","0","0","0"
"Devsoul2026/Hermes-One-Click","none","3","False","47004","0","0","0.0","19","0","0","0"
"ericjiang18/Agent-Q-Mix","none","7","False","17575","0","0","0.0","2268","0","0","0"
"aivrar/portable-hermes-agent","none","3","False","56371","0","0","0.0","22","0","0","0"
"nativ3ai/hermes-agent-camel","none","6","False","29667","0","0","0.0","18","0","0","0"
"avibe-bot/avibe","none","8","False","22236","0","0","0.0","0","0","0","0"
"Alex8791-cyber/cognithor","none","2","False","29560","0","0","0.0","1","0","0","0"
"getsentry/sentry","none","2","False","63999","0","0","0.0","0","0","0","0"
"apache/airflow","none","2","False","56075","0","0","0.0","19","0","0","0"
"shellphish/artiphishell","none","0","False","8666","0","0","0.0","19","0","0","0"
"microsoft/Sico","none","41","False","3829","0","0","0.0","3","0","0","0"
"Significant-Gravitas/AutoGPT","none","4","False","19379","0","0","0.0","21","0","0","0"
"Skyvern-AI/skyvern","none","3","False","32122","0","0","0.0","6","0","0","0"
"Checkmk/checkmk","none","2","False","61211","0","0","0.0","0","0","0","0"
"techloset/agentic-ai","none","0","False","281","0","0","0.0","50","0","0","0"
"modbender/skill-library-mcp","none","41","False","90869","0","0","0.0","85","0","1","0"
"Azure/azure-sdk-for-python","none","5","False","287486","0","0","0.0","331","0","0","0"
"benseverndev-oss/goldenmatch","none","8","False","24800","0","0","0.0","15","0","0","0"
"snowsky/yourfinanceworks","none","5","False","10064","0","0","0.0","5","0","0","0"
"mindroom-ai/mindroom","none","4","False","23975","0","0","0.0","30","0","0","0"
"BluePilotDev/bluepilot","none","0","False","8299","0","0","0.0","0","0","0","0"
"AdventurePilotDev/AdventurePilot","none","0","False","7071","0","0","0.0","0","0","0","0"
"braintrustdata/braintrust-sdk-python","none","0","False","4694","0","0","0.0","155","0","0","0"
"hepai-lab/hepai","none","0","False","3297","0","0","0.0","35","0","0","0"
"PostHog/posthog","none","1","False","154620","0","0","0.0","347","0","0","0"
"4teamwork/opengever.core","none","41","False","21495","0","0","0.0","0","0","0","0"
"globocom/GloboNetworkAPI","none","41","False","4841","0","0","0.0","0","0","0","0"
"aiteachme/AITeachMe","none","41","False","5535","0","0","0.0","1","0","0","0"
"basicmachines-co/basic-memory","none","6","False","10341","0","0","0.0","2","0","0","0"
"siddsachar/row-bot","none","6","False","11609","0","0","0.0","123","0","0","0"
"LearningCircuit/local-deep-research","none","2","False","43587","0","0","0.0","104","0","0","0"
"xt765/LangChain-Chinese-Comment","none","0","False","10393","0","0","0.0","1282","0","0","0"
"Renyus/astrbot_plugin_self_evolution","none","0","False","1511","0","0","0.0","7","0","0","0"
"drussell23/JARVIS","none","2","False","143535","0","0","0.0","81","0","0","0"
"solpbc/solstone-journal","none","7","False","23741","0","0","0.0","0","0","0","0"
"jiangxxxue/KOCO-bench","none","2","False","205673","0","0","0.0","309","0","0","0"
"DataDog/dd-trace-py","none","0","False","26368","0","0","0.0","396","0","4","0"
"imbue-ai/mngr","none","4","False","28076","0","0","0.0","0","0","0","0"
"truera/trulens","none","1","False","4072","0","0","0.0","33","0","0","0"
"larksuite/oapi-sdk-python","none","0","False","73445","0","0","0.0","0","0","0","0"
"baserow/baserow","none","1","False","19834","0","0","0.0","11","0","0","0"
"cctbx/cctbx_project","pyan_resilient","2","True","40211","46349","2272429","115.3","16","29077","0","0"
"gip-inclusion/les-emplois","none","2","False","8172","0","0","0.0","0","0","0","0"
"endomorphosis/ipfs_kit_py","none","26","False","47184","0","0","0.0","3","0","0","0"
"PUITAR/DeepSlide","none","1","False","1214","0","0","0.0","10","0","0","0"
"codemie-ai/codemie","none","4","False","23980","0","0","0.0","99","0","0","0"
"RBVI/ChimeraX","none","9","False","17166","0","0","0.0","0","0","0","0"
"endomorphosis/ipfs_datasets_py","none","12","False","166526","0","0","0.0","1","0","0","0"
"spurbey/agent-memory-orchestrator","none","41","False","3857","0","0","0.0","0","0","0","0"
"canonical/maas","none","8","False","28829","0","0","0.0","0","0","0","0"
"fathom-lab/styxx","none","6","False","8054","0","0","0.0","140","0","0","0"
"huaweicloud/huaweicloud-sdk-python-v3","none","1","False","610710","0","0","0.0","0","0","0","0"
"opencord/voltha","none","41","False","15686","0","0","0.0","0","0","0","0"
"promptdriven/pdd","none","6","False","26379","0","0","0.0","19","0","0","0"
"Edraak/edraak-platform","none","41","False","24277","0","0","0.0","0","0","0","0"
"pipeshub-ai/pipeshub-ai","none","5","False","76600","0","0","0.0","43","0","0","0"
"volcengine/volcengine-python-sdk","none","3","False","267418","0","0","0.0","0","0","0","0"
"peteromallet/Arnold","none","6","False","40892","0","0","0.0","11","0","0","0"
"rocketride-org/rocketride-server","none","16","False","11767","0","0","0.0","20","0","0","0"
"Noveum/noveum-trace","none","0","False","4196","0","0","0.0","92","0","0","0"
"3D-Tech-Solutions/code-scalpel","none","3","False","17176","0","0","0.0","0","0","0","0"
"capocchi/DEVSimPy","none","2","False","3364","0","0","0.0","2","0","0","0"
"modaic-ai/modaic","none","41","False","855","0","0","0.0","20","0","0","0"
"TracecatHQ/tracecat","none","2","False","16182","0","0","0.0","2","0","0","0"
"Strong-AI-Lab/Von","none","5","False","19214","0","0","0.0","6","0","0","0"
"musicmonk42/The_Code_Factory_Working_V2","none","0","False","21087","0","0","0.0","32","0","0","0"
"deltacodes1/Hackotberfest2025","none","10","False","472","0","0","0.0","0","0","0","0"
"MODSetter/SurfSense","none","6","False","10998","0","0","0.0","58","0","0","0"
"xbrxr03/clawos","none","2","False","2984","0","0","0.0","0","0","0","0"
"sonic-net/sonic-mgmt","none","27","False","24081","0","0","0.0","0","0","0","0"
"Jize-W/RouteMoA","none","1","False","11416","0","0","0.0","14","0","0","0"
"sands-lab/FOCUS","none","3","False","63007","0","0","0.0","236","0","0","0"
"haohervchb/GooseLLM","none","3","False","30062","0","0","0.0","280","0","0","0"
"jianghuguoguo/LORE","none","41","False","971","0","0","0.0","3","0","0","0"
"Lyra-stellAI/BYO-LLM-WIKI","none","0","False","669","0","0","0.0","9","0","2","0"
"eneo-ai/eneo","none","0","False","13042","0","0","0.0","0","0","0","0"
"thiswillbeyourgithub/wdoc","none","0","False","407","0","0","0.0","5","0","0","0"
"Capsize-Games/airunner","none","2","False","10629","0","0","0.0","17","0","0","0"
"jeremiedecock/snippets","none","0","False","1678","0","0","0.0","0","0","0","0"
"FusionBrainLab/gigaevo-core","none","2","False","12941","0","0","0.0","63","0","0","0"
"eidolon-ai/eidolon","none","2","False","1562","0","0","0.0","10","0","0","0"
"swarm-ai-research/swarm","none","2","False","15009","0","0","0.0","275","0","0","0"
