"repo","call_id","file","enclosing_qname","framework","pattern","callable","call_source","call_line","call_col","call_end_line","call_end_col","is_await","arg_count","call_arg_vars","fp_tier","arg_position","arg_keyword","arg_kind","arg_source","arg_names","arg_is_literal"
"NousResearch/hermes-agent","NousResearch_hermes-agent/agent/auxiliary_client.py::1484::27","NousResearch_hermes-agent/agent/auxiliary_client.py","NousResearch_hermes-agent.agent.auxiliary_client._CodexCompletionsAdapter.create","openai","responses.create","self._client.responses.create","self._client.responses.create(**stream_kwargs)","1484","27","1484","73","False","1","stream_kwargs","","","**","Name","stream_kwargs","stream_kwargs","False"
"NousResearch/hermes-agent","NousResearch_hermes-agent/agent/auxiliary_client.py::8552::19","NousResearch_hermes-agent/agent/auxiliary_client.py","NousResearch_hermes-agent.agent.auxiliary_client._acreate_with_stream","openai","chat.completions.create","client.chat.completions.create","client.chat.completions.create(**stream_kwargs)","8552","19","8552","66","True","1","stream_kwargs","","","**","Name","stream_kwargs","stream_kwargs","False"
"NousResearch/hermes-agent","NousResearch_hermes-agent/agent/auxiliary_client.py::9569::25","NousResearch_hermes-agent/agent/auxiliary_client.py","NousResearch_hermes-agent.agent.auxiliary_client._async_call_llm_impl","openai","chat.completions.create","client.chat.completions.create","client.chat.completions.create(**_kwargs)","9569","25","9569","66","True","1","_kwargs","","","**","Name","_kwargs","_kwargs","False"
"NousResearch/hermes-agent","NousResearch_hermes-agent/agent/auxiliary_client.py::8822::19","NousResearch_hermes-agent/agent/auxiliary_client.py","NousResearch_hermes-agent.agent.auxiliary_client._call_llm_impl","openai","chat.completions.create","client.chat.completions.create","client.chat.completions.create(**kwargs)","8822","19","8822","59","False","1","kwargs","","","**","Name","kwargs","kwargs","False"
"NousResearch/hermes-agent","NousResearch_hermes-agent/agent/auxiliary_client.py::8340::15","NousResearch_hermes-agent/agent/auxiliary_client.py","NousResearch_hermes-agent.agent.auxiliary_client._create_with_progress","openai","chat.completions.create","client.chat.completions.create","client.chat.completions.create(**kwargs)","8340","15","8340","55","False","1","kwargs","","","**","Name","kwargs","kwargs","False"
"NousResearch/hermes-agent","NousResearch_hermes-agent/agent/auxiliary_client.py::8347::17","NousResearch_hermes-agent/agent/auxiliary_client.py","NousResearch_hermes-agent.agent.auxiliary_client._create_with_progress","openai","chat.completions.create","client.chat.completions.create","client.chat.completions.create(**stream_kwargs)","8347","17","8347","64","False","1","stream_kwargs","","","**","Name","stream_kwargs","stream_kwargs","False"
"NousResearch/hermes-agent","NousResearch_hermes-agent/agent/auxiliary_client.py::8369::15","NousResearch_hermes-agent/agent/auxiliary_client.py","NousResearch_hermes-agent.agent.auxiliary_client._create_with_progress","openai","chat.completions.create","client.chat.completions.create","client.chat.completions.create(**kwargs)","8369","15","8369","55","False","1","kwargs","","","**","Name","kwargs","kwargs","False"
"NousResearch/hermes-agent","NousResearch_hermes-agent/agent/auxiliary_client.py::2977::42","NousResearch_hermes-agent/agent/auxiliary_client.py","NousResearch_hermes-agent.agent.auxiliary_client._relay_async_completion","openai","chat.completions.create","client.chat.completions.create","client.chat.completions.create(**request)","2977","42","2977","83","False","1","request","","","**","Name","request","request","False"
"NousResearch/hermes-agent","NousResearch_hermes-agent/agent/auxiliary_client.py::2949::42","NousResearch_hermes-agent/agent/auxiliary_client.py","NousResearch_hermes-agent.agent.auxiliary_client._relay_sync_completion","openai","chat.completions.create","client.chat.completions.create","client.chat.completions.create(**request)","2949","42","2949","83","False","1","request","","","**","Name","request","request","False"
"NousResearch/hermes-agent","NousResearch_hermes-agent/agent/auxiliary_client.py::3003::15","NousResearch_hermes-agent/agent/auxiliary_client.py","NousResearch_hermes-agent.agent.auxiliary_client._relay_sync_stream","openai","chat.completions.create","client.chat.completions.create","client.chat.completions.create(**kwargs)","3003","15","3003","55","False","1","kwargs","","","**","Name","kwargs","kwargs","False"
"NousResearch/hermes-agent","NousResearch_hermes-agent/agent/auxiliary_client.py::3009::24","NousResearch_hermes-agent/agent/auxiliary_client.py","NousResearch_hermes-agent.agent.auxiliary_client._relay_sync_stream","openai","chat.completions.create","client.chat.completions.create","client.chat.completions.create(**request)","3009","24","3009","65","False","1","request","","","**","Name","request","request","False"
"NousResearch/hermes-agent","NousResearch_hermes-agent/agent/chat_completion_helpers.py::512::11","NousResearch_hermes-agent/agent/chat_completion_helpers.py","NousResearch_hermes-agent.agent.chat_completion_helpers._dispatch_nonstreaming_api_request","openai","chat.completions.create","request_client.chat.completions.create","request_client.chat.completions.create(**api_kwargs)","512","11","512","63","False","1","api_kwargs","","","**","Name","api_kwargs","api_kwargs","False"
"NousResearch/hermes-agent","NousResearch_hermes-agent/agent/chat_completion_helpers.py::510::15","NousResearch_hermes-agent/agent/chat_completion_helpers.py","NousResearch_hermes-agent.agent.chat_completion_helpers._dispatch_nonstreaming_api_request","openai","chat.completions.create","agent.client.chat.completions.create","agent.client.chat.completions.create(**api_kwargs)","510","15","510","65","False","1","api_kwargs","","","**","Name","api_kwargs","api_kwargs","False"
"NousResearch/hermes-agent","NousResearch_hermes-agent/agent/chat_completion_helpers.py::2357::36","NousResearch_hermes-agent/agent/chat_completion_helpers.py","NousResearch_hermes-agent.agent.chat_completion_helpers.handle_max_iterations","openai","chat.completions.create","summary_client.chat.completions.create","summary_client.chat.completions.create(**request)","2357","36","2357","85","False","1","request","","","**","Name","request","request","False"
