"repo","qname","file","line","reason","kind"
"NousResearch/hermes-agent","NousResearch_hermes-agent.mini_swe_runner.MiniSWERunner.run_task","NousResearch_hermes-agent/mini_swe_runner.py","408","matches 'chat.completions.create' from openai","direct"
"NousResearch/hermes-agent","NousResearch_hermes-agent.trajectory_compressor.TrajectoryCompressor._generate_summary","NousResearch_hermes-agent/trajectory_compressor.py","605","matches 'chat.completions.create' from openai","direct"
"NousResearch/hermes-agent","NousResearch_hermes-agent.trajectory_compressor.TrajectoryCompressor._generate_summary_async","NousResearch_hermes-agent/trajectory_compressor.py","674","matches 'chat.completions.create' from openai","direct"
"NousResearch/hermes-agent","NousResearch_hermes-agent.agent.auxiliary_client._CodexCompletionsAdapter.create","NousResearch_hermes-agent/agent/auxiliary_client.py","1176","matches 'responses.create' from openai","direct"
"NousResearch/hermes-agent","NousResearch_hermes-agent.agent.auxiliary_client._relay_sync_completion","NousResearch_hermes-agent/agent/auxiliary_client.py","2941","matches 'chat.completions.create' from openai","direct"
"NousResearch/hermes-agent","NousResearch_hermes-agent.agent.auxiliary_client._relay_async_completion","NousResearch_hermes-agent/agent/auxiliary_client.py","2969","matches 'chat.completions.create' from openai","direct"
"NousResearch/hermes-agent","NousResearch_hermes-agent.agent.auxiliary_client._relay_sync_stream","NousResearch_hermes-agent/agent/auxiliary_client.py","2994","matches 'chat.completions.create' from openai","direct"
"NousResearch/hermes-agent","NousResearch_hermes-agent.agent.auxiliary_client._create_with_progress","NousResearch_hermes-agent/agent/auxiliary_client.py","8315","matches 'chat.completions.create' from openai","direct"
"NousResearch/hermes-agent","NousResearch_hermes-agent.agent.auxiliary_client._acreate_with_stream","NousResearch_hermes-agent/agent/auxiliary_client.py","8537","matches 'chat.completions.create' from openai","direct"
"NousResearch/hermes-agent","NousResearch_hermes-agent.agent.auxiliary_client._call_llm_impl","NousResearch_hermes-agent/agent/auxiliary_client.py","8631","matches 'chat.completions.create' from openai","direct"
"NousResearch/hermes-agent","NousResearch_hermes-agent.agent.auxiliary_client._async_call_llm_impl","NousResearch_hermes-agent/agent/auxiliary_client.py","9439","matches 'chat.completions.create' from openai","direct"
"NousResearch/hermes-agent","NousResearch_hermes-agent.agent.chat_completion_helpers._dispatch_nonstreaming_api_request","NousResearch_hermes-agent/agent/chat_completion_helpers.py","452","matches 'chat.completions.create' from openai","direct"
"NousResearch/hermes-agent","NousResearch_hermes-agent.agent.chat_completion_helpers.handle_max_iterations","NousResearch_hermes-agent/agent/chat_completion_helpers.py","2120","matches 'chat.completions.create' from openai","direct"
"NousResearch/hermes-agent","NousResearch_hermes-agent.agent.chat_completion_helpers.interruptible_streaming_api_call","NousResearch_hermes-agent/agent/chat_completion_helpers.py","2531","matches 'chat.completions.create' from openai","direct"
