framework,calls,kind,pct_of_calls
langchain,9313,framework,30.6
openai,5288,raw SDK,17.4
langgraph,3800,framework,12.5
haystack,2603,framework,8.6
agent_framework (MS),1898,framework,6.2
pydantic_ai,1343,framework,4.4
autogen,1237,framework,4.1
anthropic,1161,raw SDK,3.8
agents,684,framework,2.2
mem0,533,framework,1.8
crewai,508,framework,1.7
swarm,505,framework,1.7
agno,445,framework,1.5
dspy,401,framework,1.3
smolagents,335,framework,1.1
camel,160,framework,0.5
semantic_kernel,149,framework,0.5
astrbot,45,framework,0.1
graphrag,28,framework,0.1
swarms,3,framework,0.0
