framework,calls
langchain_core,7744
langgraph,6488
openai,5452
haystack,2603
agent_framework,1874
pydantic_ai,1785
langchain_openai,1636
anthropic,1230
agents,688
mem0,579
crewai,542
langchain_anthropic,523
autogen_agentchat,508
swarm,505
langchain,436
agno,434
autogen_core,408
langchain_community,407
dspy,401
smolagents,337
autogen_ext,251
camel,162
langchain_ollama,151
semantic_kernel,149
autogen,105
langchain_google_genai,101
langchain_aws,68
langchain_cohere,54
astrbot,45
graphrag,28
langchain_experimental,18
langchain_google_vertexai,18
langchain_perplexity,14
langchain_nvidia_ai_endpoints,13
langchain_fireworks,9
langchain_xai,9
langchain_mistralai,6
langchain_groq,6
langchain_huggingface,5
swarms,3
langchain_together,2
langchain_deepseek,1
