framework,pattern,calls,distinct_receiver_roots,stdlib_root_hits,nonterminal_hits,confident_fp,pct_confident_fp,suspicion_score,top_receiver_roots
langchain_core,.run,402,23,244,2,246,61.2,257.5,asyncio:234; sandbox:60; driver:47; subprocess:10; self:7
agno,.run,2568,130,91,10,101,3.9,166.0,agent:1314; team:315; workflow:314; asyncio:79; structured_output_agent:55
agno,.arun,1107,103,0,70,70,6.3,121.5,agent:523; team:163; workflow:122; self:32; agent_mock:26
langchain,.run,111,14,97,1,98,88.3,105.0,asyncio:88; subprocess:9; context:2; ctx:2; component_class:1
crewai,.call,79,9,45,26,71,89.9,75.5,mock:45; llm:14; self:9; chat_llm:4; mocker:3
langchain_core,.ainvoke,184,49,0,37,37,20.1,61.5,tool:37; <expr>:13; self:12; llm:12; tools:10
langgraph,.invoke,564,70,0,18,18,3.2,53.0,agent:221; graph:62; llm:42; read_file_tool:31; grep_search_tool:24
langgraph,.ainvoke,276,69,0,11,11,4.0,45.5,graph:76; agent:30; subgraph:15; self:13; grep_search_tool:13
pydantic_ai,.run,243,40,15,3,18,7.4,38.0,agent:125; asyncio:15; marvin:14; source:11; main_agent:9
openai,chat.completions.create,912,50,0,11,11,1.2,36.0,client:372; self:261; openai_client:99; registered_openai_client:18; registered_xai_client:17
langchain_core,.invoke,242,64,0,2,2,0.8,34.0,chain:38; self:30; tool:20; invoker:18; template:16
agent_framework,.run,184,25,16,0,16,8.7,28.5,workflow:53; self:41; agent:39; asyncio:15; analyst:5
langchain_openai,.run,29,6,19,0,19,65.5,22.0,asyncio:19; sandbox:3; agent_app:3; chain:2; agent:1
agno,.print_response,260,40,0,0,0,0.0,20.0,agent:165; reasoning_agent:14; blocking_team:7; shopping_team:7; team:6
langchain,.invoke,170,35,0,1,1,0.6,18.5,loaded_model:24; agent:22; model:20; chain:15; _make_agent:13
agno,.aprint_response,211,36,0,0,0,0.0,18.0,agent:129; team:14; workflow:12; chat_agent:8; multi_language_team:6
mem0,.search,59,12,3,8,11,18.6,17.0,self:36; client:5; memory_instance:4; memory:3; re:3
crewai,.kickoff,179,27,0,2,2,1.1,15.5,crew:111; flow:22; flow2:5; guarded:4; Crew:4
mem0,.add,55,14,0,5,5,9.1,12.0,self:37; memory:5; client:2; deps:1; updated_keys:1
anthropic,messages.create,201,15,0,2,2,1.0,9.5,client:84; self:44; anthropic_client:25; registered_anthropic_client:14; wrapped_client:9
haystack,.run,71,16,1,0,1,1.4,9.0,pipe:26; toolset:13; self:13; agent:3; retriever:2
