importer_slug,name,files
0ca_BoxPwnr,boxpwnr,80
AI-Buddy-Catalyst-Labs_insta_rag,insta_rag,18
10xHub_Agentflow,agentflow,341
10xHub_Agentflow,logfire,2
5zjk5_prompt-engineering,vllm,1
AI-NAtive-I_agent-ros-bridge,agent_ros_bridge,232
AIAsys_AIASys,lark_oapi,2
AgentToolkit_agent-mentor,langtrace_python_sdk,1
AgentToolkit_agent-mentor,motor,3
AgentToolkit_altk-boost,mellea,2
Alpha-Labs-Inc_Alpha-Signal,alphasignal,28
ArchAI-Labs_code_explainer,code_explainer,5
360CVGroup_FLUX-Makeup,diffusers,69
AdventurePilotDev_AdventurePilot,openpilot,566
AdventurePilotDev_AdventurePilot,sentry_sdk,1
1170300714_Local-DPO,diffusers,721
Arindam200_awesome-ai-apps,langchain_tavily,1
Arindam200_awesome-ai-apps,memori,12
AleksNeStu_ai-real-estate-assistant,sentry_sdk,1
Azure-Samples_autoauth-solution-accelerator,motor,1
Arvo-AI_aurora,nemoguardrails,1
Azure_agentops,assert_ai,1
Alex8791-cyber_cognithor,cognithor,1567
Alex8791-cyber_cognithor,vllm,4
BeautyyuYanli_Kapybara,logfire,2
BSTester_TradingAgentsWeb,tradingagents,28
BioGeMT_agentomics-ml,agentomics,74
BioGeMT_agentomics-ml,weave,4
BrickSchema_py-brickschema,brickschema,20
CAI-testbooks_LLM-Course,diffusers,3
BG8CFB_TradingAgents-CN,motor,10
CharlesQ9_HistAgent,posthog,1
Chrisolande_Medical-Research-Assistant,medical_graph_rag,22
ChristianTremblay_pyhaystack,pyhaystack,10
Cisco-Talos_PEAK-Assistant,peak_assistant,25
ClairMeta_ClairMeta,clairmeta,35
CoDS-GCS_Chatty-KG,chattykg,32
Citrus-bit_Anaxa,lark_oapi,2
BluePilotDev_bluepilot,openpilot,676
BluePilotDev_bluepilot,sentry_sdk,1
Corpus-OS_corpusos,corpus_sdk,123
DeepXiv_deepxiv_sdk,deepxiv_sdk,14
City-of-Helsinki_linkedevents,linkedevents,23
City-of-Helsinki_linkedevents,sentry_sdk,4
Capsize-Games_airunner,airunner,979
Capsize-Games_airunner,diffusers,22
DeytaHQ_khora,khora,915
DeytaHQ_khora,logfire,4
ENDEVSOLS_Long-Trainer,longtrainer,22
ENDEVSOLS_Long-Trainer,langchain_postgres,1
EPFLiGHT_mmore,mmore,47
DemonDamon_AgenticX,agenticx,886
DemonDamon_AgenticX,lark_oapi,1
DemonDamon_AgenticX,posthog,1
Echo-Team-Joy-Future-Academy-JD_Echo-Memory,diffsynth,18
EfficientContext_ContextPilot,contextpilot,46
Devsoul2026_Hermes-One-Click,lark_oapi,5
Devsoul2026_Hermes-One-Click,elevenlabs,2
EfficientAI-tech_efficientAI,efficientai,310
EfficientAI-tech_efficientAI,sentry_sdk,1
EfficientAI-tech_efficientAI,vllm,1
DataDog_dd-trace-py,ddtrace,1937
DataDog_dd-trace-py,pyramid,8
DataDog_dd-trace-py,vllm,6
EnVision-Research_DualCamCtrl,diffsynth,64
EnVision-Research_DualCamCtrl,diffusers,5
ExtensionShield_ExtensionShield,extension_shield,122
ExtensionShield_ExtensionShield,sentry_sdk,1
EvoAgentX_EvoAgentX,evoagentx,136
EvoScientist_EvoScientist,lark_oapi,1
FanDongzhe123_RAGSearch,lmdeploy,1
FanDongzhe123_RAGSearch,vllm,18
BerriAI_litellm,logfire,1
BerriAI_litellm,ddtrace,2
BerriAI_litellm,sentry_sdk,1
BerriAI_litellm,vllm,1
BerriAI_litellm,langchain_litellm,1
FreedomIntelligence_OpenClaw-Medical-Skills,tooluniverse,48
Edraak_edraak-platform,sentry_sdk,2
