"repo","call_id","file","enclosing_qname","framework","pattern","callable","call_source","call_line","call_col","call_end_line","call_end_col","is_await","arg_count","call_arg_vars","fp_tier","arg_position","arg_keyword","arg_kind","arg_source","arg_names","arg_is_literal"
"Shubhamsaboo/awesome-llm-apps","Shubhamsaboo_awesome-llm-apps/advanced_ai_agents/autonomous_game_playing_agent_apps/ai_tic_tac_toe_agent/app.py::222::34","Shubhamsaboo_awesome-llm-apps/advanced_ai_agents/autonomous_game_playing_agent_apps/ai_tic_tac_toe_agent/app.py","Shubhamsaboo_awesome-llm-apps.advanced_ai_agents.autonomous_game_playing_agent_apps.ai_tic_tac_toe_agent.app.main","agno",".run","current_agent.run","current_agent.run(f'Current board state:\n{st.session_state.game_board.get_board_state()}\n\nAvailable valid moves (row, col): {valid_moves}\n\nChoose your next move from the valid moves above.\nRespond with ONLY two numbers for row and column, e.g. ""1 2"".', stream=False)","222","34","229","13","False","2","st;valid_moves","","0","","JoinedStr","f'Current board state:\n{st.session_state.game_board.get_board_state()}\n\nAvailable valid moves (row, col): {valid_moves}\n\nChoose your next move from the valid moves above.\nRespond with ONLY two numbers for row and column, e.g. ""1 2"".'","st;valid_moves","False"
"Shubhamsaboo/awesome-llm-apps","Shubhamsaboo_awesome-llm-apps/advanced_ai_agents/autonomous_game_playing_agent_apps/ai_tic_tac_toe_agent/app.py::222::34","Shubhamsaboo_awesome-llm-apps/advanced_ai_agents/autonomous_game_playing_agent_apps/ai_tic_tac_toe_agent/app.py","Shubhamsaboo_awesome-llm-apps.advanced_ai_agents.autonomous_game_playing_agent_apps.ai_tic_tac_toe_agent.app.main","agno",".run","current_agent.run","current_agent.run(f'Current board state:\n{st.session_state.game_board.get_board_state()}\n\nAvailable valid moves (row, col): {valid_moves}\n\nChoose your next move from the valid moves above.\nRespond with ONLY two numbers for row and column, e.g. ""1 2"".', stream=False)","222","34","229","13","False","2","st;valid_moves","","","stream","Constant","False","","True"
"Shubhamsaboo/awesome-llm-apps","Shubhamsaboo_awesome-llm-apps/advanced_ai_agents/autonomous_game_playing_agent_apps/ai_tic_tac_toe_agent/app.py::267::42","Shubhamsaboo_awesome-llm-apps/advanced_ai_agents/autonomous_game_playing_agent_apps/ai_tic_tac_toe_agent/app.py","Shubhamsaboo_awesome-llm-apps.advanced_ai_agents.autonomous_game_playing_agent_apps.ai_tic_tac_toe_agent.app.main","agno",".run","current_agent.run","current_agent.run(f'Invalid move: {message}\n\nCurrent board state:\n{st.session_state.game_board.get_board_state()}\n\nAvailable valid moves (row, col): {valid_moves}\n\nPlease choose a valid move from the list above.\nRespond with ONLY two numbers for row and column, e.g. ""1 2"".', stream=False)","267","42","276","21","False","2","message;st;valid_moves","","0","","JoinedStr","f'Invalid move: {message}\n\nCurrent board state:\n{st.session_state.game_board.get_board_state()}\n\nAvailable valid moves (row, col): {valid_moves}\n\nPlease choose a valid move from the list above.\nRespond with ONLY two numbers for row and column, e.g. ""1 2"".'","message;st;valid_moves","False"
"Shubhamsaboo/awesome-llm-apps","Shubhamsaboo_awesome-llm-apps/advanced_ai_agents/autonomous_game_playing_agent_apps/ai_tic_tac_toe_agent/app.py::267::42","Shubhamsaboo_awesome-llm-apps/advanced_ai_agents/autonomous_game_playing_agent_apps/ai_tic_tac_toe_agent/app.py","Shubhamsaboo_awesome-llm-apps.advanced_ai_agents.autonomous_game_playing_agent_apps.ai_tic_tac_toe_agent.app.main","agno",".run","current_agent.run","current_agent.run(f'Invalid move: {message}\n\nCurrent board state:\n{st.session_state.game_board.get_board_state()}\n\nAvailable valid moves (row, col): {valid_moves}\n\nPlease choose a valid move from the list above.\nRespond with ONLY two numbers for row and column, e.g. ""1 2"".', stream=False)","267","42","276","21","False","2","message;st;valid_moves","","","stream","Constant","False","","True"
"Shubhamsaboo/awesome-llm-apps","Shubhamsaboo_awesome-llm-apps/advanced_ai_agents/multi_agent_apps/agent_teams/ag2_adaptive_research_team/agents.py::82::12","Shubhamsaboo_awesome-llm-apps/advanced_ai_agents/multi_agent_apps/agent_teams/ag2_adaptive_research_team/agents.py","Shubhamsaboo_awesome-llm-apps.advanced_ai_agents.multi_agent_apps.agent_teams.ag2_adaptive_research_team.agents.run_agent","autogen",".generate_reply","agent.generate_reply","agent.generate_reply(messages=[{'role': 'user', 'content': prompt}])","82","12","82","80","False","1","prompt","","","messages","List","[{'role': 'user', 'content': prompt}]","prompt","False"
"Shubhamsaboo/awesome-llm-apps","Shubhamsaboo_awesome-llm-apps/advanced_ai_agents/multi_agent_apps/agent_teams/ai_legal_agent_team/legal_agent_team.py::342::46","Shubhamsaboo_awesome-llm-apps/advanced_ai_agents/multi_agent_apps/agent_teams/ai_legal_agent_team/legal_agent_team.py","Shubhamsaboo_awesome-llm-apps.advanced_ai_agents.multi_agent_apps.agent_teams.ai_legal_agent_team.legal_agent_team.main","agno",".run","st.session_state.legal_team.run","st.session_state.legal_team.run(combined_query)","342","46","342","93","False","1","combined_query","","0","","Name","combined_query","combined_query","False"
"Shubhamsaboo/awesome-llm-apps","Shubhamsaboo_awesome-llm-apps/advanced_ai_agents/multi_agent_apps/agent_teams/ai_legal_agent_team/legal_agent_team.py::358::61","Shubhamsaboo_awesome-llm-apps/advanced_ai_agents/multi_agent_apps/agent_teams/ai_legal_agent_team/legal_agent_team.py","Shubhamsaboo_awesome-llm-apps.advanced_ai_agents.multi_agent_apps.agent_teams.ai_legal_agent_team.legal_agent_team.main","agno",".run","st.session_state.legal_team.run","st.session_state.legal_team.run(f""Based on this previous analysis:    \n                                {response.content}\n                                \n                                Please summarize the key points in bullet points.\n                                Focus on insights from: {', '.join(analysis_configs[analysis_type]['agents'])}"")","358","61","364","29","False","1","analysis_configs;analysis_type;response","","0","","JoinedStr","f""Based on this previous analysis:    \n                                {response.content}\n                                \n                                Please summarize the key points in bullet points.\n                                Focus on insights from: {', '.join(analysis_configs[analysis_type]['agents'])}""","analysis_configs;analysis_type;response","False"
"Shubhamsaboo/awesome-llm-apps","Shubhamsaboo_awesome-llm-apps/advanced_ai_agents/multi_agent_apps/agent_teams/ai_legal_agent_team/legal_agent_team.py::374::66","Shubhamsaboo_awesome-llm-apps/advanced_ai_agents/multi_agent_apps/agent_teams/ai_legal_agent_team/legal_agent_team.py","Shubhamsaboo_awesome-llm-apps.advanced_ai_agents.multi_agent_apps.agent_teams.ai_legal_agent_team.legal_agent_team.main","agno",".run","st.session_state.legal_team.run","st.session_state.legal_team.run(f""Based on this previous analysis:\n                                {response.content}\n                                \n                                What are your key recommendations based on the analysis, the best course of action?\n                                Provide specific recommendations from: {', '.join(analysis_configs[analysis_type]['agents'])}"")","374","66","380","29","False","1","analysis_configs;analysis_type;response","","0","","JoinedStr","f""Based on this previous analysis:\n                                {response.content}\n                                \n                                What are your key recommendations based on the analysis, the best course of action?\n                                Provide specific recommendations from: {', '.join(analysis_configs[analysis_type]['agents'])}""","analysis_configs;analysis_type;response","False"
"Shubhamsaboo/awesome-llm-apps","Shubhamsaboo_awesome-llm-apps/advanced_ai_agents/multi_agent_apps/agent_teams/ai_legal_agent_team/local_ai_legal_agent_team/local_legal_agent.py::216::46","Shubhamsaboo_awesome-llm-apps/advanced_ai_agents/multi_agent_apps/agent_teams/ai_legal_agent_team/local_ai_legal_agent_team/local_legal_agent.py","Shubhamsaboo_awesome-llm-apps.advanced_ai_agents.multi_agent_apps.agent_teams.ai_legal_agent_team.local_ai_legal_agent_team.local_legal_agent.main","agno",".run","st.session_state.legal_team.run","st.session_state.legal_team.run(combined_query)","216","46","216","93","False","1","combined_query","","0","","Name","combined_query","combined_query","False"
"Shubhamsaboo/awesome-llm-apps","Shubhamsaboo_awesome-llm-apps/advanced_ai_agents/multi_agent_apps/agent_teams/ai_legal_agent_team/local_ai_legal_agent_team/local_legal_agent.py::232::61","Shubhamsaboo_awesome-llm-apps/advanced_ai_agents/multi_agent_apps/agent_teams/ai_legal_agent_team/local_ai_legal_agent_team/local_legal_agent.py","Shubhamsaboo_awesome-llm-apps.advanced_ai_agents.multi_agent_apps.agent_teams.ai_legal_agent_team.local_ai_legal_agent_team.local_legal_agent.main","agno",".run","st.session_state.legal_team.run","st.session_state.legal_team.run(f""Based on this previous analysis:    \n                                {response.content}\n                                \n                                Please summarize the key points in bullet points.\n                                Focus on insights from: {', '.join(analysis_configs[analysis_type]['agents'])}"")","232","61","238","29","False","1","analysis_configs;analysis_type;response","","0","","JoinedStr","f""Based on this previous analysis:    \n                                {response.content}\n                                \n                                Please summarize the key points in bullet points.\n                                Focus on insights from: {', '.join(analysis_configs[analysis_type]['agents'])}""","analysis_configs;analysis_type;response","False"
