framework_family,applications,pct_of_analyzed,analysed_by_study,member_import_names
langchain,498,66.1,1,langchain langchain_anthropic langchain_aws langchain_cohere langchain_community langchain_core langchain_deepseek langchain_experimental langchain_fireworks langchain_google_genai langchain_google_vertexai langchain_groq langchain_huggingface langchain_mistralai langchain_nvidia_ai_endpoints langchain_ollama langchain_openai langchain_openrouter langchain_perplexity langchain_together langchain_xai
openai,477,63.3,1,openai
langgraph,287,38.1,1,langgraph
anthropic,248,32.9,1,anthropic
litellm,169,22.4,0,litellm
agents,128,17.0,1,agents
crewai,116,15.4,1,crewai
pydantic_ai,110,14.6,1,pydantic_ai
autogen,85,11.3,1,autogen autogen_agentchat autogen_core autogen_ext
mem0,79,10.5,1,mem0
ollama,70,9.3,0,ollama
dspy,68,9.0,1,dspy
mistralai,56,7.4,0,mistralai
cohere,51,6.8,0,cohere
smolagents,48,6.4,1,smolagents
agent_framework (MS),48,6.4,1,agent_framework
vertexai,42,5.6,0,vertexai
semantic_kernel,40,5.3,1,semantic_kernel
agno,38,5.0,1,agno
haystack,36,4.8,1,haystack
dashscope,34,4.5,0,dashscope
ragas,31,4.1,0,ragas
groq,31,4.1,0,groq
zhipuai,25,3.3,0,zhipuai
together,24,3.2,0,together
agentops,20,2.7,0,agentops
deepeval,20,2.7,0,deepeval
livekit,18,2.4,0,livekit
astrbot,18,2.4,1,astrbot
phoenix,17,2.3,0,phoenix
camel,15,2.0,1,camel
swarm,12,1.6,1,swarm
replicate,11,1.5,0,replicate
graphrag,10,1.3,1,graphrag
lagent,10,1.3,0,lagent
opik,9,1.2,0,opik
metagpt,8,1.1,0,metagpt
honcho,7,0.9,0,honcho
openlit,6,0.8,0,openlit
beeai_framework,6,0.8,0,beeai_framework
fireworks,5,0.7,0,fireworks
swarms,3,0.4,1,swarms
parlant,2,0.3,0,parlant
uagents,2,0.3,0,uagents
agent_protocol,2,0.3,0,agent_protocol
headroom,2,0.3,0,headroom
any_agent,2,0.3,0,any_agent
agency_swarm,1,0.1,0,agency_swarm
ragaai_catalyst,1,0.1,0,ragaai_catalyst
superagi,1,0.1,0,superagi
