hasan_repo,current_repo,in_frameworks_csv,matched_via,import_name,in_framework_calls,in_top20,population_apps
FoundationAgents/MetaGPT,,yes,direct,metagpt,yes,no,9
microsoft/autogen,,yes,direct,autogen_core,yes,yes,23
crewAIInc/crewAI,,yes,direct,crewai,yes,yes,77
agno-agi/agno,,no,,agno,yes,yes,39
huggingface/smolagents,,no,,smolagents,yes,yes,42
openai/swarm,,yes,direct,swarm,yes,yes,17
letta-ai/letta,,no,,letta,no,no,0
eosphoros-ai/DB-GPT,,no,,dbgpt,no,no,0
TransformerOptimus/SuperAGI,,yes,direct,superagi,yes,no,0
raga-ai-hub/RagaAI-Catalyst,,yes,direct,ragaai_catalyst,yes,no,1
langchain-ai/langgraph,,yes,direct,langgraph,yes,yes,78
camel-ai/camel,,yes,direct,camel,yes,yes,38
openai/openai-agents-python,,yes,direct,agents,yes,yes,0
pydantic/pydantic-ai,,yes,direct,pydantic_ai,yes,yes,79
QwenLM/Qwen-Agent,,no,,qwen_agent,no,no,0
Upsonic/Upsonic,,no,,upsonic,no,no,0
crestalnetwork/intentkit,,no,,intentkit,no,no,0
livekit/agents,,yes,direct,livekit,yes,no,0
lavague-ai/LaVague,,yes,direct,lavague,yes,no,1
awslabs/agent-squad,2FastLabs/agent-squad,yes,rename,agent_squad,yes,no,0
superduper-io/superduper,,yes,direct,superduper,yes,no,0
kyegomez/swarms,,yes,direct,swarms,yes,yes,20
MervinPraison/PraisonAI,,yes,direct,praisonai,yes,no,1
AgentOps-AI/agentops,,yes,direct,agentops,yes,no,22
VRSEN/agency-swarm,,yes,direct,agency_swarm,yes,no,2
SylphAI-Inc/AdalFlow,,yes,direct,adalflow,yes,no,4
cheshire-cat-ai/core,,yes,direct,cat,yes,no,0
Intelligent-Internet/ii-agent,,yes,direct,ii_agent,no,no,0
griptape-ai/griptape,,yes,direct,griptape,yes,no,2
dot-agent/nextpy,,yes,direct,nextpy,no,no,0
InternLM/lagent,,yes,direct,lagent,yes,no,15
trypromptly/LLMStack,,yes,direct,llmstack,yes,no,0
melih-unsal/DemoGPT,,yes,direct,demogpt,no,no,0
openlit/openlit,,no,,openlit,yes,no,0
agentuniverse-ai/agentUniverse,,yes,direct,agentuniverse,yes,no,0
fetchai/uAgents,,yes,direct,uagents,yes,no,0
patched-codes/patchwork,,yes,direct,patchwork,yes,no,9
Div99/agent-protocol,agi-inc/agent-protocol,yes,rename,agent_protocol,yes,no,6
