import_name,repos_importing,pct_of_population,repos_zero_calls,repos_with_calls,repos_unanalyzed,total_calls,median_calls,max_calls
langchain_core,479,45.4,29,446,4,28760,21,3911
langchain_openai,383,36.3,20,359,4,24701,24,3911
langchain,348,33.0,24,320,4,23507,23,3911
langgraph,324,30.7,13,308,3,25208,28,3911
langchain_anthropic,170,16.1,10,157,3,15202,25,3911
langchain_text_splitters,146,13.8,10,133,3,9687,25,1989
crewai,128,12.1,8,117,3,6913,26,427
pydantic_ai,121,11.5,11,107,3,5379,18,444
langchain_ollama,90,8.5,4,86,0,6271,22,1989
mem0,88,8.3,1,86,1,9519,17,3911
dspy,75,7.1,9,63,3,5636,24,2245
smolagents,57,5.4,7,48,2,2516,19,359
langchain_huggingface,56,5.3,6,50,0,5760,27,1989
haystack,56,5.3,17,37,2,4388,33,2245
agent_framework,51,4.8,5,45,1,5954,18,3911
langchain_classic,50,4.7,2,48,0,5976,38,1989
autogen_ext,47,4.5,0,45,2,6615,40,3911
autogen_agentchat,47,4.5,0,45,2,6554,32,3911
langchain_chroma,47,4.5,6,40,1,4599,27,1989
autogen_core,45,4.3,1,44,0,6327,41,3911
agno,44,4.2,3,39,2,3674,47,359
semantic_kernel,43,4.1,3,40,0,6103,24,3911
crewai_tools,38,3.6,1,36,1,2377,35,279
langchain_mistralai,32,3.0,4,28,0,4134,25,1989
langchain_groq,32,3.0,1,30,1,3438,18,1989
langchain_deepseek,30,2.8,0,30,0,3678,30,1989
astrbot,27,2.6,10,17,0,50,3,7
langchain_tests,23,2.2,5,18,0,3762,27,1989
agentops,23,2.2,0,22,1,968,20,258
langgraph_sdk,20,1.9,1,19,0,5517,33,3911
langchain_qdrant,18,1.7,0,17,1,2686,14,1989
camel,16,1.5,1,15,0,659,23,143
lagent,15,1.4,2,13,0,932,8,433
honcho,14,1.3,7,7,0,270,34,89
langchain_xai,13,1.2,0,13,0,2706,39,1989
swarm,12,1.1,2,10,0,693,29,290
graphrag,11,1.0,1,10,0,4334,20,3911
langchain_fireworks,10,0.9,0,10,0,2191,22,1989
beeai_framework,9,0.9,2,7,0,552,27,249
metagpt,9,0.9,1,8,0,155,11,83
tradingagents,8,0.8,1,7,0,200,20,82
langchain_openrouter,6,0.6,0,6,0,548,71,192
agent_framework_orchestrations,5,0.5,0,5,0,4054,43,3911
headroom,5,0.5,2,3,0,308,17,279
deepteam,5,0.5,1,4,0,121,21,72
langchain_perplexity,4,0.4,0,4,0,2177,87,1989
agent_framework_foundry_hosting,4,0.4,1,3,0,432,7,421
swarms,4,0.4,1,3,0,293,2,290
agent_framework_openai,4,0.4,0,4,0,93,10,72
adalflow,4,0.4,0,4,0,29,6,14
agent_framework_foundry,4,0.4,1,3,0,27,7,16
langchain_exa,3,0.3,0,3,0,2307,198,1989
agency_swarm,3,0.3,1,2,0,283,141,279
notte_sdk,3,0.3,1,2,0,115,57,81
uagents_core,3,0.3,0,3,0,115,33,81
any_agent,3,0.3,3,0,0,0,0,0
patchwork,3,0.3,3,0,0,0,0,0
agent_framework_azure_ai_search,2,0.2,0,2,0,4020,2010,3911
agent_framework_devui,2,0.2,0,2,0,4020,2010,3911
autogenstudio,2,0.2,0,2,0,3992,1996,3911
agent_framework_anthropic,2,0.2,0,2,0,3987,1993,3911
agent_framework_azure_cosmos,2,0.2,0,2,0,3954,1977,3911
agent_framework_durabletask,2,0.2,0,2,0,3954,1977,3911
agent_framework_a2a,2,0.2,0,2,0,3935,1967,3911
agent_framework_redis,2,0.2,0,2,0,3931,1965,3911
langchain_nomic,2,0.2,0,2,0,1999,999,1989
npcpy,2,0.2,1,1,0,38,38,38
agent_protocol,2,0.2,0,2,0,26,13,18
griptape,2,0.2,0,1,1,13,13,13
agent_framework_ag_ui,1,0.1,0,1,0,3911,3911,3911
agent_framework_ag_ui_examples,1,0.1,0,1,0,3911,3911,3911
agent_framework_azurefunctions,1,0.1,0,1,0,3911,3911,3911
agent_framework_bedrock,1,0.1,0,1,0,3911,3911,3911
agent_framework_chatkit,1,0.1,0,1,0,3911,3911,3911
agent_framework_claude,1,0.1,0,1,0,3911,3911,3911
agent_framework_copilotstudio,1,0.1,0,1,0,3911,3911,3911
agent_framework_declarative,1,0.1,0,1,0,3911,3911,3911
agent_framework_foundry_local,1,0.1,0,1,0,3911,3911,3911
agent_framework_github_copilot,1,0.1,0,1,0,3911,3911,3911
agent_framework_lab_gaia,1,0.1,0,1,0,3911,3911,3911
agent_framework_lab_lightning,1,0.1,0,1,0,3911,3911,3911
agent_framework_lab_tau2,1,0.1,0,1,0,3911,3911,3911
agent_framework_mem0,1,0.1,0,1,0,3911,3911,3911
agent_framework_ollama,1,0.1,0,1,0,3911,3911,3911
agent_framework_purview,1,0.1,0,1,0,3911,3911,3911
autogen_test_utils,1,0.1,0,1,0,3911,3911,3911
langgraph_cli,1,0.1,0,1,0,3911,3911,3911
langchain_model_profiles,1,0.1,0,1,0,1989,1989,1989
uagents_adapter,1,0.1,0,1,0,81,81,81
superagi,1,0.1,0,1,0,62,62,62
omnigent,1,0.1,0,1,0,51,51,51
ragaai_catalyst,1,0.1,0,1,0,32,32,32
ten_runtime,1,0.1,0,1,0,10,10,10
pyautogen,1,0.1,0,1,0,8,8,8
lavague,1,0.1,0,1,0,7,7,7
