import_name,source_frameworks,auto_bucket,reason,kept_for_population,search_repos_matched,search_files_matched,candidates_kept,population_repos,scan_repos_any,scan_repos_from_import,scan_repos_from_dot,scan_repos_import,scan_files_from_import,scan_files_from_dot,scan_files_import
pydantic_ai,pydantic/pydantic-ai,KEEP,known_framework,1,1281,2105,80,79,121,117,107,26,1723,1865,65
langgraph,AgentOps-AI/agentops,KEEP,known_framework,1,1992,2748,79,78,324,3,322,24,6,4072,42
crewai,AgentOps-AI/agentops; crewAIInc/crewAI,KEEP,known_framework,1,2048,3000,78,77,128,121,102,21,522,606,35
mem0,AgentOps-AI/agentops,KEEP,known_framework,1,1380,2131,77,75,88,84,28,14,169,403,20
langchain_core,langchain-ai/langchain,KEEP,known_framework,1,2191,3000,66,64,479,12,476,40,39,12140,74
langchain,AgentOps-AI/agentops; langchain-ai/langchain; livekit/agents; microsoft/autogen,KEEP,known_framework,1,2596,3000,65,64,348,48,344,41,123,3619,67
langchain_anthropic,langchain-ai/langchain,KEEP,known_framework,1,1453,2187,60,58,170,161,30,11,373,61,13
dspy,AgentOps-AI/agentops,KEEP,known_framework,1,1297,3000,62,58,75,23,43,74,81,184,1147
langchain_openai,langchain-ai/langchain,KEEP,known_framework,1,2399,3000,55,52,383,371,48,19,2022,128,41
haystack,AgentOps-AI/agentops,KEEP,known_framework,1,1422,3000,51,49,56,49,54,12,805,1057,25
clai,pydantic/pydantic-ai,REVIEW,unclassified,1,863,1069,49,49,0,0,0,0,0,0,0
smolagents,AgentOps-AI/agentops,REVIEW,unclassified,1,618,1403,26,42,57,51,33,11,637,280,16
agent_framework,microsoft/agent-framework,KEEP,matches_source_repo,1,726,2634,39,39,51,47,46,9,965,843,11
agno,AgentOps-AI/agentops,KEEP,known_framework,1,971,2171,41,39,44,4,44,8,19,4731,41
camel,camel-ai/camel,KEEP,known_framework,1,1179,2116,38,38,16,1,15,1,1,460,1
astrbot,AstrBotDevs/AstrBot,KEEP,matches_source_repo,1,847,2612,28,28,27,2,27,10,3,755,30
graphrag,microsoft/autogen,REVIEW,unclassified,1,758,2315,27,26,11,4,11,5,6,575,46
langchain_text_splitters,langchain-ai/langchain,KEEP,known_framework,1,1669,2073,26,25,146,141,14,2,351,42,2
omnigent,omnigent-ai/omnigent,KEEP,matches_source_repo,1,244,1952,25,25,1,0,1,1,0,1,1
autogen_agentchat,microsoft/autogen,KEEP,matches_source_repo,1,705,1391,24,23,47,5,46,3,17,302,3
autogen_core,microsoft/autogen,KEEP,matches_source_repo,1,734,2075,23,23,45,32,40,4,333,370,4
langchain_mistralai,langchain-ai/langchain,KEEP,known_framework,1,1499,2019,22,22,32,28,7,1,78,11,1
agentops,AgentOps-AI/agentops,KEEP,known_framework,1,666,2908,23,22,23,12,8,17,39,201,57
semantic_kernel,microsoft/autogen,KEEP,known_framework,1,480,1613,9,21,43,25,41,10,124,370,30
langchain_tests,langchain-ai/langchain,KEEP,matches_source_repo,1,183,1001,21,21,23,0,23,0,0,144,0
swarms,kyegomez/swarms,KEEP,matches_source_repo,1,460,2102,9,20,4,3,3,1,4,10,9
langchain_ollama,langchain-ai/langchain,KEEP,known_framework,1,1881,2198,19,19,90,87,8,3,224,19,3
crewai_tools,crewAIInc/crewAI,KEEP,known_framework,1,1091,2120,18,18,38,36,1,2,79,1,3
autogen_ext,microsoft/autogen,KEEP,matches_source_repo,1,611,1024,18,17,47,0,47,2,0,302,2
langchain_deepseek,langchain-ai/langchain,KEEP,matches_source_repo,1,823,1158,17,17,30,29,2,0,48,5,0
swarm,openai/swarm,KEEP,matches_source_repo,1,413,1317,6,17,12,9,6,3,27,1395,26
langchain_huggingface,langchain-ai/langchain,KEEP,known_framework,1,1752,2061,16,16,56,53,7,1,181,22,1
notte,nottelabs/notte,KEEP,matches_source_repo,1,497,1012,16,16,0,0,0,0,0,0,0
langgraph_sdk,langchain-ai/langgraph,KEEP,matches_source_repo,1,872,2586,15,15,20,18,14,2,105,86,2
lagent,InternLM/lagent,KEEP,matches_source_repo,1,183,1255,15,15,15,9,14,1,24,117,1
honcho,plastic-labs/honcho,KEEP,known_framework,1,496,2373,15,15,14,9,12,2,22,27,2
langchain_chroma,langchain-ai/langchain,KEEP,known_framework,1,1400,1660,14,14,47,45,3,3,117,6,4
langchain_xai,langchain-ai/langchain,KEEP,matches_source_repo,1,761,1057,13,13,13,13,1,0,21,2,0
headroom,headroomlabs-ai/headroom,KEEP,matches_source_repo,1,180,2430,13,13,5,3,3,0,3,3,0
langchain_qdrant,langchain-ai/langchain,KEEP,known_framework,1,991,1416,11,11,18,18,3,0,51,13,0
langchain_fireworks,langchain-ai/langchain,KEEP,matches_source_repo,1,800,1220,11,11,10,9,2,0,22,9,0
tradingagents,simonlin1212/TradingAgents-astock,KEEP,matches_source_repo,1,346,2039,4,10,8,0,8,6,0,757,35
langchain_classic,langchain-ai/langchain,KEEP,matches_source_repo,1,461,2025,9,9,50,5,49,3,35,1313,5
beeai_framework,i-am-bee/beeai-framework,KEEP,matches_source_repo,1,121,1084,9,9,9,0,9,3,0,182,5
metagpt,FoundationAgents/MetaGPT,KEEP,matches_source_repo,1,198,2131,9,9,9,1,9,2,2,342,5
patchwork,patched-codes/patchwork,KEEP,matches_source_repo,1,438,1748,9,9,3,1,3,1,9,79,10
langchain_groq,langchain-ai/langchain,KEEP,known_framework,1,1759,2099,9,8,32,31,1,2,74,3,2
agent_protocol,agi-inc/agent-protocol,KEEP,matches_source_repo,1,141,326,6,6,2,2,0,0,9,0,0
langchain_openrouter,langchain-ai/langchain,KEEP,matches_source_repo,1,398,744,5,5,6,6,0,1,11,0,2
agent_framework_orchestrations,microsoft/agent-framework,KEEP,matches_source_repo,1,43,164,5,5,5,4,3,0,10,9,0
deepteam,confident-ai/deepteam,KEEP,matches_source_repo,1,56,1131,5,5,5,2,5,1,4,207,2
langchain_perplexity,langchain-ai/langchain,KEEP,matches_source_repo,1,699,1127,5,5,4,4,1,0,20,6,0
langchain_exa,langchain-ai/langchain,KEEP,matches_source_repo,1,121,395,5,5,3,3,1,0,7,3,0
adalflow,SylphAI-Inc/AdalFlow,KEEP,matches_source_repo,1,81,1485,4,4,4,4,4,4,4,44,25
dynamiq,dynamiq-ai/dynamiq,KEEP,matches_source_repo,1,333,1786,4,4,0,0,0,0,0,0,0
agent_framework_foundry,microsoft/agent-framework,KEEP,matches_source_repo,1,38,145,3,3,4,4,0,0,6,0,0
agent_framework_foundry_hosting,microsoft/agent-framework,KEEP,matches_source_repo,1,98,226,3,3,4,4,0,0,8,0,0
agent_framework_openai,microsoft/agent-framework,KEEP,matches_source_repo,1,40,156,3,3,4,3,2,0,3,3,0
any_agent,mozilla-ai/any-agent,KEEP,matches_source_repo,1,31,660,3,3,3,3,2,0,17,21,0
notte_sdk,nottelabs/notte,KEEP,matches_source_repo,1,19,595,3,3,3,2,1,0,2,1,0
uagents_core,fetchai/uAgents,KEEP,matches_source_repo,1,328,1006,2,3,3,0,3,0,0,147,0
pentestagent,GH05TCREW/pentestagent,KEEP,matches_source_repo,1,81,401,3,3,0,0,0,0,0,0,0
agency_swarm,VRSEN/agency-swarm,KEEP,matches_source_repo,1,180,1885,2,2,3,3,1,0,5,4,0
agent_framework_a2a,microsoft/agent-framework,KEEP,matches_source_repo,1,28,75,2,2,2,2,1,0,6,1,0
agent_framework_anthropic,microsoft/agent-framework,KEEP,matches_source_repo,1,19,76,2,2,2,2,1,0,2,1,0
agent_framework_azure_ai_search,microsoft/agent-framework,KEEP,matches_source_repo,1,11,24,2,2,2,1,1,0,1,1,0
agent_framework_azure_cosmos,microsoft/agent-framework,KEEP,matches_source_repo,1,10,73,2,2,2,2,1,1,2,1,1
agent_framework_devui,microsoft/agent-framework,KEEP,matches_source_repo,1,60,364,2,2,2,2,1,1,7,12,1
agent_framework_durabletask,microsoft/agent-framework,KEEP,matches_source_repo,1,10,214,2,2,2,2,1,0,16,8,0
agent_framework_redis,microsoft/agent-framework,KEEP,matches_source_repo,1,31,117,2,2,2,1,1,0,2,1,0
autogenstudio,microsoft/autogen,KEEP,matches_source_repo,1,74,264,2,2,2,0,2,0,0,15,0
griptape,griptape-ai/griptape,KEEP,matches_source_repo,1,115,1703,3,2,2,0,2,0,0,10,0
langchain_nomic,langchain-ai/langchain,KEEP,matches_source_repo,1,307,609,2,2,2,2,1,0,4,3,0
npcpy,NPC-Worldwide/npcpy,KEEP,matches_source_repo,1,14,171,2,2,2,1,2,0,1,16,0
langgraph_cli,langchain-ai/langgraph,KEEP,matches_source_repo,1,84,591,2,2,1,0,1,1,0,16,3
pentestgpt,GreyDGL/PentestGPT,KEEP,matches_source_repo,1,50,904,2,2,1,0,1,0,0,19,0
pyautogen,microsoft/autogen,KEEP,matches_source_repo,1,21,26,2,2,1,0,0,1,0,0,1
sia,hexo-ai/sia,REVIEW,unclassified,1,260,524,1,2,0,0,0,0,0,0,0
agent_framework_ag_ui,microsoft/agent-framework,KEEP,matches_source_repo,1,67,594,1,1,1,1,1,0,18,14,0
agent_framework_ag_ui_examples,microsoft/agent-framework,KEEP,matches_source_repo,1,10,25,1,1,1,0,1,0,0,3,0
agent_framework_azurefunctions,microsoft/agent-framework,KEEP,matches_source_repo,1,15,141,1,1,1,1,1,0,7,6,0
agent_framework_bedrock,microsoft/agent-framework,KEEP,matches_source_repo,1,11,57,1,1,1,1,1,0,4,1,0
agent_framework_chatkit,microsoft/agent-framework,KEEP,matches_source_repo,1,16,71,1,1,1,1,0,0,4,0,0
agent_framework_claude,microsoft/agent-framework,KEEP,matches_source_repo,1,14,36,1,1,1,1,1,0,1,1,0
agent_framework_copilotstudio,microsoft/agent-framework,KEEP,matches_source_repo,1,22,73,1,1,1,1,1,0,1,1,0
agent_framework_declarative,microsoft/agent-framework,KEEP,matches_source_repo,1,21,214,1,1,1,1,1,1,8,11,1
agent_framework_foundry_local,microsoft/agent-framework,KEEP,matches_source_repo,1,17,50,1,1,1,1,1,0,2,1,0
agent_framework_github_copilot,microsoft/agent-framework,KEEP,matches_source_repo,1,16,41,1,1,1,1,0,0,2,0,0
agent_framework_lab_gaia,microsoft/agent-framework,KEEP,matches_source_repo,1,21,41,1,1,1,1,0,0,2,0,0
agent_framework_lab_lightning,microsoft/agent-framework,KEEP,matches_source_repo,1,21,43,1,1,1,1,0,0,2,0,0
agent_framework_lab_tau2,microsoft/agent-framework,KEEP,matches_source_repo,1,20,75,1,1,1,1,1,0,1,3,0
agent_framework_mem0,microsoft/agent-framework,KEEP,matches_source_repo,1,23,32,1,1,1,0,1,0,0,1,0
agent_framework_ollama,microsoft/agent-framework,KEEP,matches_source_repo,1,16,53,1,1,1,1,0,0,4,0,0
agent_framework_purview,microsoft/agent-framework,KEEP,matches_source_repo,1,20,192,1,1,1,1,1,0,6,7,0
autogen_test_utils,microsoft/autogen,KEEP,matches_source_repo,1,29,232,1,1,1,1,1,0,7,1,0
connectonion,openonion/connectonion,KEEP,matches_source_repo,1,18,802,1,1,1,1,1,0,10,8,0
infiagent,polyuiislab/infiAgent,KEEP,matches_source_repo,1,7,85,1,1,1,0,1,1,0,7,6
langchain_model_profiles,langchain-ai/langchain,KEEP,matches_source_repo,1,48,71,1,1,1,0,1,0,0,1,0
lavague,,KEEP,recovered_by_re_search,1,,,,1,1,0,1,0,0,1,0
ragaai_catalyst,raga-ai-hub/RagaAI-Catalyst,KEEP,matches_source_repo,1,17,108,1,1,1,0,1,1,0,1,1
solace_agent_mesh,,KEEP,recovered_by_re_search,1,,,,1,1,0,1,0,0,46,0
uagents_adapter,fetchai/uAgents,KEEP,matches_source_repo,1,41,197,1,1,1,1,1,0,21,3,0
praisonai,MervinPraison/PraisonAI,KEEP,matches_source_repo,1,48,2463,1,1,0,0,0,0,0,0,0
superagi,TransformerOptimus/SuperAGI,KEEP,matches_source_repo,1,64,1174,0,0,1,0,1,0,0,1,0
ten_runtime,TEN-framework/ten-framework,REVIEW,unclassified,1,8,494,0,0,1,1,0,0,5,0,0
LightAgent,wanxingai/LightAgent,KEEP,matches_source_repo,1,16,80,0,0,0,0,0,0,0,0,0
agent_framework_azure_contentunderstanding,microsoft/agent-framework,KEEP,matches_source_repo,1,4,21,0,0,0,0,0,0,0,0,0
agent_framework_gemini,microsoft/agent-framework,KEEP,matches_source_repo,1,9,38,0,0,0,0,0,0,0,0,0
agent_framework_hosting,microsoft/agent-framework,KEEP,matches_source_repo,1,1,16,0,0,0,0,0,0,0,0,0
agent_framework_hosting_responses,microsoft/agent-framework,KEEP,matches_source_repo,1,1,7,0,0,0,0,0,0,0,0,0
agent_framework_hosting_telegram,microsoft/agent-framework,KEEP,matches_source_repo,1,0,4,0,0,0,0,0,0,0,0,0
agent_framework_hyperlight,microsoft/agent-framework,KEEP,matches_source_repo,1,6,11,0,0,0,0,0,0,0,0,0
agent_framework_meta,microsoft/agent-framework,KEEP,matches_source_repo,1,0,0,0,0,0,0,0,0,0,0,0
agent_framework_mistral,microsoft/agent-framework,KEEP,matches_source_repo,1,2,9,0,0,0,0,0,0,0,0,0
agent_framework_monty,microsoft/agent-framework,KEEP,matches_source_repo,1,2,21,0,0,0,0,0,0,0,0,0
agent_framework_tools,microsoft/agent-framework,KEEP,matches_source_repo,1,3,44,0,0,0,0,0,0,0,0,0
agent_protocol_client,agi-inc/agent-protocol,KEEP,matches_source_repo,1,54,322,0,0,0,0,0,0,0,0,0
agent_squad,2FastLabs/agent-squad,KEEP,matches_source_repo,1,17,219,0,0,0,0,0,0,0,0,0
agentuniverse,agentuniverse-ai/agentUniverse,KEEP,matches_source_repo,1,6,766,0,0,0,0,0,0,0,0,0
agentuniverse_connector,agentuniverse-ai/agentUniverse,KEEP,matches_source_repo,1,0,0,0,0,0,0,0,0,0,0,0
agentuniverse_extension,agentuniverse-ai/agentUniverse,KEEP,matches_source_repo,1,0,3,0,0,0,0,0,0,0,0,0
agentuniverse_product,agentuniverse-ai/agentUniverse,KEEP,matches_source_repo,1,1,41,0,0,0,0,0,0,0,0,0
assetopsbench,,KEEP,recovered_by_re_search,1,,,,0,0,0,0,0,0,0,0
assetopsbench_mcp,,KEEP,recovered_by_re_search,1,,,,0,0,0,0,0,0,0,0
crewai_cli,crewAIInc/crewAI,KEEP,matches_source_repo,1,4,166,0,0,0,0,0,0,0,0,0
crewai_core,crewAIInc/crewAI,KEEP,matches_source_repo,1,4,374,0,0,0,0,0,0,0,0,0
crewai_devtools,crewAIInc/crewAI,KEEP,matches_source_repo,1,6,11,0,0,0,0,0,0,0,0,0
crewai_files,crewAIInc/crewAI,KEEP,matches_source_repo,1,18,582,0,0,0,0,0,0,0,0,0
demogpt,melih-unsal/DemoGPT,KEEP,matches_source_repo,1,7,37,0,0,0,0,0,0,0,0,0
demogpt_agenthub,melih-unsal/DemoGPT,KEEP,matches_source_repo,1,0,24,0,0,0,0,0,0,0,0,0
headroom_oauth2,headroomlabs-ai/headroom,KEEP,matches_source_repo,1,4,5,0,0,0,0,0,0,0,0,0
headroom_retrieve,headroomlabs-ai/headroom,KEEP,matches_source_repo,1,0,0,0,0,0,0,0,0,0,0,0
honcho_cli,plastic-labs/honcho,KEEP,matches_source_repo,1,4,65,0,0,0,0,0,0,0,0,0
ii_agent,Intelligent-Internet/ii-agent,KEEP,matches_source_repo,1,11,1066,0,0,0,0,0,0,0,0,0
ii_agent_tools,Intelligent-Internet/ii-agent,KEEP,matches_source_repo,1,1,156,0,0,0,0,0,0,0,0,0
letsfg,LetsFG/LetsFG,KEEP,matches_source_repo,1,3,40,0,0,0,0,0,0,0,0,0
llmstack,trypromptly/LLMStack,KEEP,matches_source_repo,1,17,1094,0,0,0,0,0,0,0,0,0
nextpy,dot-agent/nextpy,KEEP,known_framework,1,28,2687,0,0,0,0,0,0,0,0,0
nextpy_chat,dot-agent/nextpy,KEEP,matches_source_repo,1,7,144,0,0,0,0,0,0,0,0,0
notte_agent,nottelabs/notte,KEEP,matches_source_repo,1,3,43,0,0,0,0,0,0,0,0,0
notte_browser,nottelabs/notte,KEEP,matches_source_repo,1,2,96,0,0,0,0,0,0,0,0,0
notte_core,nottelabs/notte,KEEP,matches_source_repo,1,4,271,0,0,0,0,0,0,0,0,0
notte_eval,nottelabs/notte,KEEP,matches_source_repo,1,2,21,0,0,0,0,0,0,0,0,0
notte_integrations,nottelabs/notte,KEEP,matches_source_repo,1,2,18,0,0,0,0,0,0,0,0,0
notte_llm,nottelabs/notte,KEEP,matches_source_repo,1,0,27,0,0,0,0,0,0,0,0,0
notte_mcp,nottelabs/notte,KEEP,matches_source_repo,1,0,0,0,0,0,0,0,0,0,0,0
obsidian_wiki,Ar9av/obsidian-wiki,KEEP,matches_source_repo,1,0,9,0,0,0,0,0,0,0,0,0
omnigent_client,omnigent-ai/omnigent,KEEP,matches_source_repo,1,5,217,0,0,0,0,0,0,0,0,0
omnigent_ui_sdk,omnigent-ai/omnigent,KEEP,matches_source_repo,1,2,122,0,0,0,0,0,0,0,0,0
openakita,openakita/openakita,KEEP,matches_source_repo,1,5,1103,0,0,0,0,0,0,0,0,0
openakita_plugin_sdk,openakita/openakita,KEEP,matches_source_repo,1,2,29,0,0,0,0,0,0,0,0,0
pentestgpt_legacy,GreyDGL/PentestGPT,KEEP,matches_source_repo,1,1,20,0,0,0,0,0,0,0,0,0
praisonai_platform,MervinPraison/PraisonAI,KEEP,matches_source_repo,1,0,14,0,0,0,0,0,0,0,0,0
sagents,ZHangZHengEric/Sage,KEEP,matches_source_repo,1,5,366,0,0,0,0,0,0,0,0,0
superduper,superduper-io/superduper,KEEP,matches_source_repo,1,28,347,0,0,0,0,0,0,0,0,0
superduper_anthropic,superduper-io/superduper,KEEP,matches_source_repo,1,0,2,0,0,0,0,0,0,0,0,0
superduper_chromadb,superduper-io/superduper,KEEP,matches_source_repo,1,0,1,0,0,0,0,0,0,0,0,0
superduper_cohere,superduper-io/superduper,KEEP,matches_source_repo,1,0,2,0,0,0,0,0,0,0,0,0
superduper_jina,superduper-io/superduper,KEEP,matches_source_repo,1,0,2,0,0,0,0,0,0,0,0,0
superduper_lance,superduper-io/superduper,KEEP,matches_source_repo,1,0,1,0,0,0,0,0,0,0,0,0
superduper_llamacpp,superduper-io/superduper,KEEP,matches_source_repo,1,0,1,0,0,0,0,0,0,0,0,0
superduper_mongodb,superduper-io/superduper,KEEP,matches_source_repo,1,0,3,0,0,0,0,0,0,0,0,0
superduper_openai,superduper-io/superduper,KEEP,matches_source_repo,1,0,2,0,0,0,0,0,0,0,0,0
superduper_pillow,superduper-io/superduper,KEEP,matches_source_repo,1,0,1,0,0,0,0,0,0,0,0,0
