framework,applications,pct_of_apps
langchain,295,27.7
pydantic_ai,128,12.0
langgraph,85,8.0
crewai,84,7.9
mem0,77,7.2
dspy,62,5.8
haystack,51,4.8
smolagents,44,4.1
autogen,43,4.0
agent_framework (MS),43,4.0
agno,41,3.9
camel,38,3.6
astrbot,28,2.6
graphrag,27,2.5
omnigent,25,2.3
agentops,23,2.2
semantic_kernel,21,2.0
swarms,20,1.9
swarm,17,1.6
notte,17,1.6
honcho,15,1.4
lagent,15,1.4
headroom,13,1.2
tradingagents,10,0.9
metagpt,9,0.8
beeai_framework,9,0.8
patchwork,9,0.8
agent_protocol,6,0.6
deepteam,5,0.5
adalflow,4,0.4
dynamiq,4,0.4
uagents,3,0.3
any_agent,3,0.3
pentestagent,3,0.3
griptape,3,0.3
agency_swarm,2,0.2
pentestgpt,2,0.2
sia,2,0.2
npcpy,2,0.2
praisonai,1,0.1
solace_agent_mesh,1,0.1
ragaai_catalyst,1,0.1
connectonion,1,0.1
infiagent,1,0.1
lavague,1,0.1
