import_name,applications,pct_of_apps
pydantic_ai,80,7.0
langgraph,79,6.9
crewai,78,6.8
mem0,77,6.7
langchain_core,66,5.8
langchain,65,5.7
dspy,62,5.4
langchain_anthropic,60,5.3
langchain_openai,55,4.8
haystack,51,4.5
clai,49,4.3
smolagents,44,3.9
cat,42,3.7
agno,41,3.6
agent_framework,39,3.4
camel,38,3.3
subagents,37,3.2
agui,32,2.8
astrbot,28,2.5
graphrag,27,2.4
langchain_text_splitters,26,2.3
omnigent,25,2.2
autogen_agentchat,24,2.1
agentops,23,2.0
autogen_core,23,2.0
langchain_mistralai,22,1.9
semantic_kernel,21,1.8
langchain_tests,21,1.8
swarms,20,1.8
langchain_ollama,19,1.7
autogen_ext,18,1.6
crewai_tools,18,1.6
swarm,17,1.5
langchain_deepseek,17,1.5
langchain_huggingface,16,1.4
notte,16,1.4
langgraph_sdk,15,1.3
honcho,15,1.3
lagent,15,1.3
langchain_chroma,14,1.2
headroom,13,1.1
langchain_xai,13,1.1
langchain_fireworks,11,1.0
langchain_qdrant,11,1.0
tradingagents,10,0.9
metagpt,9,0.8
langchain_groq,9,0.8
langchain_classic,9,0.8
beeai_framework,9,0.8
patchwork,9,0.8
agent_protocol,6,0.5
agent_framework_orchestrations,5,0.4
langchain_openrouter,5,0.4
deepteam,5,0.4
langchain_exa,5,0.4
langchain_perplexity,5,0.4
adalflow,4,0.4
dynamiq,4,0.4
notte_sdk,3,0.3
uagents_core,3,0.3
agent_framework_openai,3,0.3
agent_framework_foundry_hosting,3,0.3
agent_framework_foundry,3,0.3
any_agent,3,0.3
pentestagent,3,0.3
griptape,3,0.3
agent_framework_azure_ai_search,2,0.2
agent_framework_redis,2,0.2
agent_framework_anthropic,2,0.2
agent_framework_devui,2,0.2
agent_framework_azure_cosmos,2,0.2
agent_framework_a2a,2,0.2
autogenstudio,2,0.2
langgraph_cli,2,0.2
agent_framework_durabletask,2,0.2
agency_swarm,2,0.2
pentestgpt,2,0.2
langchain_nomic,2,0.2
pyautogen,2,0.2
sia,2,0.2
npcpy,2,0.2
uagents_adapter,1,0.1
agent_framework_lab_tau2,1,0.1
agent_framework_foundry_local,1,0.1
agent_framework_lab_gaia,1,0.1
agent_framework_mem0,1,0.1
agent_framework_copilotstudio,1,0.1
agent_framework_claude,1,0.1
agent_framework_ollama,1,0.1
agent_framework_bedrock,1,0.1
agent_framework_lab_lightning,1,0.1
agent_framework_ag_ui_examples,1,0.1
agent_framework_ag_ui,1,0.1
agent_framework_azurefunctions,1,0.1
agent_framework_purview,1,0.1
agent_framework_declarative,1,0.1
agent_framework_github_copilot,1,0.1
autogen_test_utils,1,0.1
agent_framework_chatkit,1,0.1
praisonai,1,0.1
solace_agent_mesh,1,0.1
langchain_model_profiles,1,0.1
ragaai_catalyst,1,0.1
connectonion,1,0.1
infiagent,1,0.1
lavague,1,0.1
