"full_name","html_url","clone_url","default_branch","description","matched_frameworks","stars","forks","language","topics","open_issues","size_kb","created_at","updated_at","pushed_at","license","lifetime_days","contributors","total_commits","commits_per_month","real_ai_app","analyzed","reason"
"jchavezar/vertex-ai-samples","https://github.com/jchavezar/vertex-ai-samples","https://github.com/jchavezar/vertex-ai-samples.git","main","","crewai","42","14","Python","","2","577225","2022-10-24T15:40:31Z","2026-06-26T12:22:32Z","2026-06-26T12:22:29Z","","1340","4","1617","36.2","1","1","clone recorded as failed, but a checkout exists — never analysed"
"agno-agi/pal","https://github.com/agno-agi/pal","https://github.com/agno-agi/pal.git","main","Pal is a Personal Agent that Learns how you work by building a compounding knowledge base.","agno","265","27","Python","","3","317","2026-02-19T15:22:31Z","2026-06-27T04:43:11Z","2026-04-28T00:50:15Z","Apache-2.0","67","4","43","19.25","1","1","clone failed; no checkout on disk"
"Azure/multi-agent-doc-research","https://github.com/Azure/multi-agent-doc-research","https://github.com/Azure/multi-agent-doc-research.git","main","custom document research through multi-agents","agent_framework, graphrag, semantic_kernel","12","11","Python","","9","119372","2025-10-27T02:59:33Z","2026-02-07T16:23:42Z","2026-02-06T18:40:06Z","MIT","102","2","37","10.88","1","1","clone recorded as failed, but a checkout exists — never analysed"
"rysweet/amplihack","https://github.com/rysweet/amplihack","https://github.com/rysweet/amplihack.git","main","Framework for agentic coding supporting many popular agent coding tools. ","agent_framework","67","44","Python","","208","253093","2025-09-15T19:36:32Z","2026-06-26T03:43:46Z","2026-06-21T16:49:54Z","","278","26","1651","178.17","1","1","clone recorded as failed, but a checkout exists — never analysed"
"fwornle/agentic-ai-nano","https://github.com/fwornle/agentic-ai-nano","https://github.com/fwornle/agentic-ai-nano.git","main","nano-degree in Agentic AI","agno, crewai, pydantic_ai","12","4","Python","a2a,acp,agent,mcp,rag","0","54819","2025-08-17T09:01:54Z","2026-06-02T03:49:01Z","2026-05-02T18:12:08Z","MIT","258","2","527","61.28","1","1","clone recorded as failed, but a checkout exists — never analysed"
"gabrielmoreira/agent-skills-mirror","https://github.com/gabrielmoreira/agent-skills-mirror","https://github.com/gabrielmoreira/agent-skills-mirror.git","main","Periodically refreshed mirror of agents, skills, prompts and instruction files from public repositories.","agno, dspy","11","2","Python","","1","780308","2026-03-23T13:19:25Z","2026-06-29T04:55:08Z","2026-06-29T04:54:57Z","MIT","97","3","112","34.64","1","1","clone recorded as failed, but a checkout exists — never analysed"
"FreedomIntelligence/OpenClaw-Medical-Skills","https://github.com/FreedomIntelligence/OpenClaw-Medical-Skills","https://github.com/FreedomIntelligence/OpenClaw-Medical-Skills.git","main","The largest open-source medical AI skills library for OpenClaw🦞.","langchain_openai","2779","387","Python","awesome,claude-code,clawhub,medical,nanoclaw,openclaw,openclaw-skills,skills","11","77630","2026-03-08T09:43:52Z","2026-06-29T13:37:18Z","2026-06-18T02:42:43Z","","101","9","48","14.26","1","1","clone recorded as failed, but a checkout exists — never analysed"
"dimagi/commcare-hq","https://github.com/dimagi/commcare-hq","https://github.com/dimagi/commcare-hq.git","master","CommCareHQ is the server backend for CommCare, the world's largest platform for designing, managing, and deploying robust, offline-first, mobile applications to frontline workers worldwide","notte","522","234","Python","commcare-hq","267","1001757","2009-07-09T17:00:07Z","2026-06-29T14:57:03Z","2026-06-29T20:05:07Z","BSD-3-Clause","6199","243","195451","945.88","1","1","clone recorded as failed, but a checkout exists — never analysed"
"Azure/plan-search-chatbot","https://github.com/Azure/plan-search-chatbot","https://github.com/Azure/plan-search-chatbot.git","main","plan and search chatbot PoC","semantic_kernel","12","7","Python","","4","9262","2025-07-07T10:27:35Z","2026-02-26T06:21:49Z","2026-02-26T03:12:36Z","MIT","233","6","122","15.71","1","1","clone recorded as failed, but a checkout exists — never analysed"
"nbelle1/strategy-game-agents","https://github.com/nbelle1/strategy-game-agents","https://github.com/nbelle1/strategy-game-agents.git","main","","langchain_mistralai","16","4","Python","","1","60741","2025-04-25T03:02:59Z","2026-06-06T14:34:33Z","2025-10-23T20:42:17Z","","181","7","171","28.34","1","1","clone recorded as failed, but a checkout exists — never analysed"
